Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Bellivue Diagnostic Center,22.1339094,90.2361929,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Amtali,ChIJ45-0xPWTqjARHpoX8uULAkg,"46MP+HF Amtali, Bangladesh",7MJG46MP+HF
"Ispahani Islamia eye Institute And hospital, Amtoli. Barguna.",22.1339094,90.2361929,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","274, Iqbalbagh West, বগুড়া রোড, বরিশাল",ChIJ9Z8aV0KTqjARdvbvNzu1v3Y,"46MP+HF Amtali, Bangladesh",7MJG46MP+HF
Amtali Community Clinic,22.1339094,90.2361929,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Teknaf, Amtali",ChIJC3dPHxyTqjARVVdSJ3ihgi4,"46MP+HF Amtali, Bangladesh",7MJG46MP+HF
ভাই ভাই মেডিকেল হল,22.1306328,90.2310201,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Dhaka-Kuakata Road, Amtali",ChIJ44GcKO-TqjARhVVLNLCqjNE,"46JJ+7C Amtali, Bangladesh",7MJG46JJ+7C
"Upazilla Health Complex, Amtali",22.1304818,90.2309006,4.4,19,"['hospital', 'health', 'point_of_interest', 'establishment']","Dhaka-Kuakata Road, Amtali",ChIJF3hszuSTqjARCin2limLJwQ,"46JJ+59 Amtali, Bangladesh",7MJG46JJ+59
The Medinova Hospital.,22.1297441,90.231013,4,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Amtali,ChIJp8aT3OSTqjARoH8haldXFRI,"46HJ+VC Amtali, Bangladesh",7MJG46HJ+VC
আমতলী মাতৃসদন সার্জিক্যাল ক্লিনিক,22.1423229,90.2376679,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Mohila College Road, Amtali",ChIJVZAIneKTqjARdUY9W7Y2LBU,"46RQ+W3 Amtali, Bangladesh",7MJG46RQ+W3
SOHEL HOMOEO Clinic,22.1328519,90.2260416,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","260 SADAR ROAD, Amtali",ChIJyRW5Dn-TqjARSMTCDQcp6Js,"46MG+4C Amtali, Bangladesh",7MJG46MG+4C
Amtali Old Hospital,22.1420047,90.2297163,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Amtali,ChIJnxNxsPiTqjARaVp5EooH0RM,"46RH+RV Amtali, Bangladesh",7MJG46RH+RV
Pashu Hospital,22.1378434,90.2261209,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Bondor Primary Road, Amtali",ChIJDUQIb_6TqjAR_zg1caLAhD8,"46QG+4C Amtali, Bangladesh",7MJG46QG+4C
Kaunia Community Clinic,22.1198528,90.2493452,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Amtali Upazila,ChIJGdyQPJaTqjARDELOlefwNWw,"469X+WP Amtali, Bangladesh",7MJG469X+WP
Chalitabunia Community Clinic,22.1480099,90.252483,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJJ0osWHeUqjARixn7Qi_D65U,"47X2+6X Amtali, Bangladesh",7MJG47X2+6X
Purbo Chandra Community Clinic,22.1291204,90.2687799,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Amtali Upazila,ChIJA5VA9HCTqjARZKgpxNdGRX4,"47H9+JG Amtali, Bangladesh",7MJG47H9+JG
Bhailabunia Community Clinic,22.0949403,90.1879796,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Amtali Upazila,ChIJ21V1Tr2RqjARcfgI3ddV9iA,"35VQ+X5 Arpangasia, Bangladesh",7MJG35VQ+X5
Kukua 10 Beded Hospital,22.1817274,90.2853736,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",B1406,ChIJkx0Gf9yUqjARsISnWYbcCro,"57JP+M4 Chaora, Bangladesh",7MJG57JP+M4
Latabaria Community Clinic,22.1759741,90.1677638,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJ3zjkKG2XqjARXaYCzw55thA,"55G9+94 Burir Char, Bangladesh",7MJG55G9+94
Gulishakhali Hospital,22.2232872,90.2333431,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Amtali Upazila,ChIJG3MrduWVqjARwqPFlijlzOs,"66FM+88 Barabighai Union, Bangladesh",7MJG66FM+88
Gojkhali Community Clinic,22.217337,90.271609,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Amtali Upazila,ChIJPWnjgW2VqjARQN9RCr4s_6A,"678C+WJ Gojkhali, Bangladesh",7MJG678C+WJ
মধ্য টেপুরা কমিউনিটি ক্লিনিক,22.1024675,90.3319281,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Amtali Upazila,ChIJDxOlke7tqjAR3OxgVsO_5I0,"482J+XQ Tepura, Bangladesh",7MJG482J+XQ
A R Khan Homeopathy Clinic,22.2430961,90.1476985,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",বরিশাল সুবিদখালী সড়ক,ChIJzwtlcquiqjARO4yLeAlJVFg,"64VX+63 Kalikabari, Bangladesh",7MJG64VX+63
ডেন্টাল বিভাগ সৌদি প্রবাসী হাসপাতাল ডৌয়াতলা,22.3128887,90.0910316,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bamna,ChIJzaYzOzijqjARyXNK-WO-tH0,"837R+5C Bamna, Bangladesh",7MJG837R+5C
Bamna Hospital,22.310067,90.0926515,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Bamna Hospital Road, Bamna",ChIJEy0Hp-qjqjAR63hryQNTwis,"836V+23 Bamna, Bangladesh",7MJG836V+23
বামনা হাসপাতাল,22.3097869,90.0928302,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","College Road, Bamna",ChIJwdFwTJmjqjARsdPGJJxHeDQ,"835V+W4 Bamna, Bangladesh",7MJG835V+W4
Saudi Probasi Hospital.,22.3066604,90.0934932,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bamna,ChIJmWX87DajqjAR9u_RhJh0G3Q,"834V+M9 Bamna, Bangladesh",7MJG834V+M9
Kalikabari Community Clinic,22.3237442,90.0834844,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Bamna Upazila,ChIJx4MQmvqjqjAR1jBlz-E1Pts,"83FM+F9 Bamna, Bangladesh",7MJG83FM+F9
Nij Amtali Community Clinic,22.2988018,90.074962,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Bamna Upazila,ChIJz2tgtWWhqjARlDJpxmOdMqg,"73XF+GX Bamna, Bangladesh",7MJG73XF+GX
Nij Amtoli Community Clinic,22.3024242,90.0675609,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bamna Upazila,ChIJnZYmOvGhqjARJcnVbZKkV7k,"8329+X2 Balaibania, Bangladesh",7MJG8329+X2
Bura Mazumdar Community Clinic,22.3035832,90.1212208,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Unnamed Road, Saliabakpur Union",ChIJC6NmAQ6jqjARBBPAAl0YQ-Q,"843C+CF Bamna, Bangladesh",7MJG843C+CF
Chalitabunia Community Clinic (চালিতাবুনিয়া কমিউনিটি ক্লিনিক),22.3382234,90.0685841,3,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Bamna Upazila,ChIJ2dGnQKymqjARMgC4qRkvPGM,"83Q9+7C Amua, Bangladesh",7MJG83Q9+7C
Bukabunia Health complex,22.3185151,90.0538963,4.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJabEq9TOhqjARFmgWb-bfYPg,"8393+CH Bukabunia, Bangladesh",7MJG8393+CH
Charkhali Kylaghata Community Clinic,22.3468387,90.109534,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Betagi Upazila,ChIJ98s7IWOkqjAR6IyUn0Jq2zw,"84W5+PR Amua, Bangladesh",7MJG84W5+PR
Kalikabari Community Clinic,22.2811129,90.1158746,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalikabari Kazirabad Road,ChIJNW28u_6iqjARP2KlcN2pKNs,"74J8+C8 Kalikabari, Bangladesh",7MJG74J8+C8
Amua UHC,22.3519512,90.0802946,3.7,13,"['hospital', 'health', 'point_of_interest', 'establishment']","Kanthalia, Upazila",ChIJI5q9XhmkqjARQq546LYJEwc,"932J+Q4 Amua, Bangladesh",7MJG932J+Q4
Kathalia Upazila Health Complex,22.3520173,90.0802212,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kathalia Upazila,ChIJbev_WxmkqjAR9rgY2yNgEpw,"932J+R3 Amua, Bangladesh",7MJG932J+R3
Kauniya Health Sub-Centre,22.3155173,90.1359484,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Betagi Upazila,ChIJQerFqEajqjARZxUok-hNm6M,"848P+69 Bamna, Bangladesh",7MJG848P+69
Amua River View Clinic,22.3535488,90.0810885,5,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Bamna - Amua - Kathalia Road,ChIJYzPjERmkqjARa02mGw3foKM,"933J+CC Amua, Bangladesh",7MJG933J+CC
Bura Mazumdar Health Sub-Centre,22.3156371,90.1360205,5,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Betagi, Upazila",ChIJ5eeGqEajqjARY7yBo72lUVs,"848P+7C Bamna, Bangladesh",7MJG848P+7C
Heulibunia Community Clinic,22.1156386,90.0928567,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJ5_TdhJWbqjAR_9Lr7u_81g8,"438V+74 Barguna, Bangladesh",7MJG438V+74
Dhalua Community Clinic,22.1340331,90.0919066,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Barguna Sadar Upazila,ChIJGa5Up-ebqjARogzmE-bJHrw,"43MR+JQ Barguna, Bangladesh",7MJG43MR+JQ
Pazrabhanga Community Clinic,22.114939,90.1111828,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Unnamed Road, Saliabakpur Union",ChIJyaY1wbSbqjAR5lI24PJeC1o,"4476+XF Barguna, Bangladesh",7MJG4476+XF
"মা ও শিশু হাসপাতাল, বরগুনা",22.1467299,90.1215159,4.3,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Barguna Sadar Upazila,ChIJbTM3nYiZqjAR9ZOkuEINHK0,"44WC+MJ Barguna, Bangladesh",7MJG44WC+MJ
Shondhani Eye hospital,22.1545288,90.1165058,3,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Barguna,ChIJ11unVoOZqjARbME6K9dZqyE,"5438+RJ Barguna, Bangladesh",7MJG5438+RJ
Barguna Central Clinic,22.1584159,90.1142862,3,4,"['hospital', 'health', 'point_of_interest', 'establishment']","R880, Barguna",ChIJ4Zb7rJ2ZqjARA6z7HldTlNw,"5457+9P Barguna, Bangladesh",7MJG5457+9P
Doctors Care Clinic & Hospital,22.1582373,90.116193,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Barguna,ChIJ7Vug59WZqjARxiXt5HTV_xU,"5458+7F Barguna, Bangladesh",7MJG5458+7F
Doctors Care Clinic & Hospital (Pvt),22.1583234,90.1163995,4.3,8,"['hospital', 'health', 'point_of_interest', 'establishment']","College Road, আমতলী",ChIJbajue5yZqjAR_gXHkkt9PAY,"5458+8H Barguna, Bangladesh",7MJG5458+8H
সেবা ডিজিটাল ডায়াগনষ্টিক সেন্টার,22.157094,90.11985,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Barguna Branch Road, Barguna",ChIJC1W0XfWZqjARclzRcWJ2DWU,"5449+RW Barguna, Bangladesh",7MJG5449+RW
Oral & Dental Care ওরাল এন্ড ডেন্টাল কেয়ার,22.1581973,90.1196064,4.6,11,"['hospital', 'health', 'point_of_interest', 'establishment']","Barguna Branch Road, Barguna",ChIJ81NGV5qZqjARDTsWMUMU-qQ,"5459+7R Barguna, Bangladesh",7MJG5459+7R
Life Care Clinic & Diagnostic Center,22.1588534,90.1185013,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Barguna,ChIJQZiLNxSZqjAR_qsdl7BrGg8,"5459+GC Barguna, Bangladesh",7MJG5459+GC
