District,Thana,SubOffice,Post Code,location,coordinate
Barguna,Amtali,Amtali,8710,"8710 Amtali,Barguna","22.1339094,90.23619289999999"
Barguna,Bamna,Bamna,8730,"8730 Bamna,Barguna","22.3128887,90.0910316"
Barguna,Barguna Sadar,Barguna Sadar,8700,"8700 Barguna Sadar,Barguna","22.1191492,90.09336859999999"
Barguna,Barguna Sadar,Nali Bandar,8701,"8701 Nali Bandar,Barguna","22.0719692,90.0384971"
Barguna,Betagi,Betagi,8740,"8740 Betagi,Barguna","22.4141607,90.1658856"
Barguna,Betagi,Darul Ulam,8741,"8741 Darul Ulam,Barguna","22.1605051,90.1200636"
Barguna,Patharghata,Kakchira,8721,"8721 Kakchira,Barguna","22.1809784,90.01678989999999"
Barguna,Patharghata,Patharghata,8720,"8720 Patharghata,Barguna","22.0386917,89.9696802"
Barishal,Agailzhara,Agailzhara,8240,"8240 Agailzhara,Barishal","22.9706922,90.15493149999999"
Barishal,Agailzhara,Gaila,8241,"8241 Gaila,Barishal","22.9633216,90.17966249999999"
Barishal,Agailzhara,Paisarhat,8242,"8242 Paisarhat,Barishal","22.9751128,90.0816068"
Barishal,Banaripara,Banaripara,8530,"8530 Banaripara,Barishal","22.7855261,90.15737179999999"
Barishal,Banaripara,Chakhar,8531,"8531 Chakhar,Barishal","22.816395,90.19165009999999"
Barishal,Babuganj,Babuganj,8210,"8210 Babuganj,Barishal","22.834068,90.3183792"
Barishal,Babuganj,Barishal Cadet,8216,"8216 Barishal Cadet,Barishal","22.7010021,90.35345110000002"
Barishal,Babuganj,Chandpasha,8212,"8212 Chandpasha,Barishal","22.7803947,90.3418927"
Barishal,Babuganj,Madhabpasha,8213,"8213 Madhabpasha,Barishal","22.7685878,90.2854839"
Barishal,Babuganj,Nizamuddin College,8215,"8215 Nizamuddin College,Barishal","22.9356871,90.31554419999999"
Barishal,Babuganj,Rahamatpur,8211,"8211 Rahamatpur,Barishal","22.7905622,90.2999576"
Barishal,Babuganj,Thakur Mallik,8214,"8214 Thakur Mallik,Barishal","22.7062341,90.3671254"
Barishal,Barajalia,Barajalia,8260,"8260 Barajalia,Barishal","22.9169612,90.5163312"
Barishal,Barajalia,Osman Manjil,8261,"8261 Osman Manjil,Barishal","22.6893314,90.3592031"
Barishal,Barishal Sadar,Barishal Sadar,8200,"8200 Barishal Sadar,Barishal","22.7010021,90.35345110000002"
Barishal,Barishal Sadar,Chandramohon,8200,"8200 Chandramohon,Barishal","22.7010021,90.35345110000002"
Barishal,Barishal Sadar,Bukhainagar,8201,"8201 Bukhainagar,Barishal","22.7456624,90.45628099999999"
Barishal,Barishal Sadar,Jaguarhat,8206,"8206 Jaguarhat,Barishal","22.7010021,90.35345110000002"
Barishal,Barishal Sadar,Kashipur,8205,"8205 Kashipur,Barishal","22.7223052,90.3383648"
Barishal,Barishal Sadar,Patang,8204,"8204 Patang,Barishal","22.7010021,90.35345110000002"
Barishal,Barishal Sadar,Saheberhat,8202,"8202 Saheberhat,Barishal","22.7010021,90.35345110000002"
Barishal,Barishal Sadar,Sugandia,8203,"8203 Sugandia,Barishal","22.7010021,90.35345110000002"
Barishal,Gouranadi,Batajor,8233,"8233 Batajor,Barishal","22.9041967,90.2490964"
Barishal,Gouranadi,Gouranadi,8230,"8230 Gouranadi,Barishal","22.9742369,90.2221213"
Barishal,Gouranadi,Kashemabad,8232,"8232 Kashemabad,Barishal","22.9480002,90.2315859"
Barishal,Gouranadi,Tarki Bandar,8231,"8231 Tarki Bandar,Barishal","22.7010021,90.35345110000002"
Barishal,Mahendiganj,Langutia,8274,"8274 Langutia,Barishal","22.7010021,90.35345110000002"
Barishal,Mahendiganj,Laskarpur,8271,"8271 Laskarpur,Barishal","22.7010021,90.35345110000002"
Barishal,Mahendiganj,Mahendiganj,8270,"8270 Mahendiganj,Barishal","22.8260701,90.5269639"
Barishal,Mahendiganj,Nalgora,8273,"8273 Nalgora,Barishal","22.8777635,90.6464802"
Barishal,Mahendiganj,Ulania,8272,"8272 Ulania,Barishal","22.8451353,90.61094299999999"
Barishal,Muladi,Charkalekhan,8252,"8252 Charkalekhan,Barishal","22.9838515,90.405778"
Barishal,Muladi,Kazirchar,8251,"8251 Kazirchar,Barishal","22.8703083,90.3870579"
Barishal,Muladi,Muladi,8250,"8250 Muladi,Barishal","22.8875337,90.3889622"
Barishal,Bakerganj,Charamandi,8281,"8281 Charamandi,Barishal","22.7010021,90.35345110000002"
Barishal,Bakerganj,kalaskati,8284,"8284 kalaskati,Barishal","22.5181046,90.3795438"
Barishal,Bakerganj,Padri Shibpur,8282,"8282 Padri Shibpur,Barishal","22.5033767,90.297229"
