District,Thana,SubOffice,Post Code
Bandarban,Alikadam,Alikadam,4650
Bandarban,Bandarban Sadar,Bandarban Sadar,4600
Bandarban,Naikhong,Naikhong,4660
Bandarban,Roanchhari,Roanchhari,4610
Bandarban,Ruma,Ruma,4620
Bandarban,Thanchi,Lama,4641
Bandarban,Thanchi,Thanchi,4630
Brahmanbaria,Akhaura,Akhaura,3450
Brahmanbaria,Akhaura,Azampur,3451
Brahmanbaria,Akhaura,Gangasagar,3452
Brahmanbaria,Banchharampur,Banchharampur,3420
Brahmanbaria,Brahamanbaria Sadar,Ashuganj,3402
Brahmanbaria,Brahamanbaria Sadar,Ashuganj Share,3403
Brahmanbaria,Brahamanbaria Sadar,Brahamanbaria Sadar,3400
Brahmanbaria,Brahamanbaria Sadar,Poun,3404
Brahmanbaria,Brahamanbaria Sadar,Talshahar,3401
Brahmanbaria,Kasba,Chandidar,3462
Brahmanbaria,Kasba,Chargachh,3463
Brahmanbaria,Kasba,Gopinathpur,3464
Brahmanbaria,Kasba,Kasba,3460
Brahmanbaria,Kasba,Kuti,3461
Brahmanbaria,Nabinagar,Jibanganj,3419
Brahmanbaria,Nabinagar,Kaitala,3417
Brahmanbaria,Nabinagar,Laubfatehpur,3411
Brahmanbaria,Nabinagar,Nabinagar,3410
Brahmanbaria,Nabinagar,Rasullabad,3412
Brahmanbaria,Nabinagar,Ratanpur,3414
Brahmanbaria,Nabinagar,Salimganj,3418
Brahmanbaria,Nabinagar,Shahapur,3415
Brahmanbaria,Nabinagar,Shamgram,3413
Brahmanbaria,Nasirnagar,Fandauk,3441
Brahmanbaria,Nasirnagar,Nasirnagar,3440
Brahmanbaria,Sarail,Chandura,3432
Brahmanbaria,Sarail,Sarial,3430
Brahmanbaria,Sarail,Shahbajpur,3431
Chandpur,Chandpur Sadar,Baburhat,3602
Chandpur,Chandpur Sadar,Chandpur Sadar,3600
Chandpur,Chandpur Sadar,Puranbazar,3601
Chandpur,Chandpur Sadar,Sahatali,3603
Chandpur,Faridganj,Chandra,3651
Chandpur,Faridganj,Faridganj,3650
Chandpur,Faridganj,Gridkaliandia,3653
Chandpur,Faridganj,Islampur Shah Isain,3655
Chandpur,Faridganj,Rampurbazar,3654
Chandpur,Faridganj,Rupsha,3652
Chandpur,Hajiganj,Bolakhal,3611
Chandpur,Hajiganj,Hajiganj,3610
Chandpur,Hayemchar,Gandamara,3661
Chandpur,Hayemchar,Hayemchar,3660
Chandpur,Kachua,Kachua,3630
Chandpur,Kachua,Pak Shrirampur,3631
Chandpur,Kachua,Rahima Nagar,3632
Chandpur,Kachua,Shachar,3633
Chandpur,Matlobganj,Kalipur,3642
Chandpur,Matlobganj,Matlobganj,3640
Chandpur,Matlobganj,Mohanpur,3641
Chandpur,Shahrasti,Chotoshi,3623
Chandpur,Shahrasti,Islamia Madrasha,3624
Chandpur,Shahrasti,Khilabazar,3621
Chandpur,Shahrasti,Pashchim Kherihar Al,3622
Chandpur,Shahrasti,UNKILA,3620
Chattogram,Anawara,Anowara,4376
Chattogram,Anawara,Battali,4378
Chattogram,Anawara,Paroikora,4377
Chattogram,Boalkhali,Boalkhali,4366
Chattogram,Boalkhali,Charandwip,4369
Chattogram,Boalkhali,Iqbal Park,4365
Chattogram,Boalkhali,Kadurkhal,4368
Chattogram,Boalkhali,Kanungopara,4363
Chattogram,Boalkhali,Sakpura,4367
Chattogram,Boalkhali,Saroatoli,4364
Chattogram,Chattogram Sadar,Al- Amin Baria Madra,4221
Chattogram,Chattogram Sadar,Amin Jute Mills,4211
Chattogram,Chattogram Sadar,Anandabazar,4215
Chattogram,Chattogram Sadar,Bayezid Bostami,4210
Chattogram,Chattogram Sadar,Chandgaon,4212
Chattogram,Chattogram Sadar,Chawkbazar,4203
Chattogram,Chattogram Sadar,Chitt. Cantonment,4220
Chattogram,Chattogram Sadar,Chitt. Customs Acca,4219
Chattogram,Chattogram Sadar,Chitt. Politechnic In,4209
Chattogram,Chattogram Sadar,Chitt. Sailers Colon,4218
Chattogram,Chattogram Sadar,Chattogram Airport,4205
Chattogram,Chattogram Sadar,Chattogram Bandar,4100
Chattogram,Chattogram Sadar,Chattogram GPO,4000
Chattogram,Chattogram Sadar,Export Processing,4223
Chattogram,Chattogram Sadar,Firozshah,4207
Chattogram,Chattogram Sadar,Halishahar,4216
Chattogram,Chattogram Sadar,Khulshi,4225
Chattogram,Chattogram Sadar,Jalalabad,4214
Chattogram,Chattogram Sadar,Jaldia Merine Accade,4206
Chattogram,Chattogram Sadar,Middle Patenga,4222
Chattogram,Chattogram Sadar,Mohard,4208
Chattogram,Chattogram Sadar,North Halishahar,4226
Chattogram,Chattogram Sadar,North Katuli,4217
Chattogram,Chattogram Sadar,Pahartoli,4202
Chattogram,Chattogram Sadar,Patenga,4204
Chattogram,Chattogram Sadar,Rampur TSO,4224
Chattogram,Chattogram Sadar,Wazedia,4213
Chattogram,East Joara,Barma,4383
Chattogram,East Joara,Dohazari,4382
