Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Alikadam Health Complex,21.6522891,92.3119619,3.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Lama - Alikadam Road, Alikadam",ChIJQRLkhVeFrTARlWwm9OE_aRE,"M826+WQ Alikadam, Bangladesh",7MHJM826+WQ
Upazila Health Complex,21.6559163,92.3108319,3.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Alikadam,ChIJ79DsNFeFrTARkvJHhaHWqPY,"M846+98 Alikadam, Bangladesh",7MHJM846+98
Alikadam Military Hospital,21.6453781,92.3142954,4.8,8,"['hospital', 'health', 'point_of_interest', 'establishment']",Alikadam,ChIJj9IBI_ePrTARY49DLYtajPg,"J8W7+5P Alikadam, Bangladesh",7MHJJ8W7+5P
Alikadam Upazila Health Complex,21.6523964,92.311918,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Alikadam,ChIJ01hZj1eFrTAR_vyoGlOqpAI,not found,not found
Bandarban diabetic Hospital,22.1901742,92.2185221,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Z1811, Bandarban",ChIJQUCY1iVqrTARSXuVFcu1UtQ,"56R9+3C Bandarban, Bangladesh",7MJJ56R9+3C
"Islami shikka kendro health complex,Bandarban",22.1904413,92.2209911,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Banorupa Para Road, Bandarban",ChIJ1f65VSZqrTARLOvu0i0JH7A,"56RC+59 Bandarban, Bangladesh",7MJJ56RC+59
Hill View Hospital & Diagnostic Center,22.1956465,92.2189405,3.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Mosjid Road, Bandarban",ChIJp6FNYiFqrTAR-Ds7d4_jt7s,"56W9+7H Bandarban, Bangladesh",7MJJ56W9+7H
ইম্যানুয়েল মেডিকেল সেন্টার,22.1971708,92.2199376,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bandarban,ChIJR1kQK-RrrTARfmfsjCfwYTo,"56W9+VX Bandarban, Bangladesh",7MJJ56W9+VX
Imuneyal hospital,22.1971404,92.2200054,4.1,7,"['hospital', 'health', 'point_of_interest', 'establishment']","KSI Road, Bandarban",ChIJcwGboiFqrTARMC3UrFxtVvI,"56WC+V2 Bandarban, Bangladesh",7MJJ56WC+V2
MDS Bandarban সামরিক হাসপাতাল,22.2063849,92.2127718,5,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Bandarban,ChIJsdXLuRBqrTARXOr2PPa_RTw,"6647+H4 Bandarban, Bangladesh",7MJJ6647+H4
Bandarban Sadar Upazila Health Office,22.1902723,92.2258446,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Bandarban,ChIJIZZ7VIhprTARsSouVeV21Pk,"56RG+48 Bandarban, Bangladesh",7MJJ56RG+48
Bandarban Sadar Hospital,22.1896135,92.2264957,3.8,9,"['hospital', 'health', 'point_of_interest', 'establishment']",Bandarban,ChIJ_7Rt94hprTARYnQqCql5XjM,"56QG+RH Bandarban, Bangladesh",7MJJ56QG+RH
সূর্যের হাসি ক্লিনিক,22.2152041,92.2101571,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Rangamati - Bandarban Road, Bandarban",ChIJcdV4pkBrrTARO9prhBop-xA,"6686+33 Bandarban, Bangladesh",7MJJ6686+33
"সূর্য়ের হাসি ক্লিনিক,২য় তলা, বালাঘাটা, বান্দরবন পার্বত্য জেলা",22.215354,92.2102345,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Rangamati - Bandarban Road, Bandarban",ChIJoVV6Ao9rrTARgjPjXElG_Xo,"6686+43 Bandarban, Bangladesh",7MJJ6686+43
Krikhyong Para Community Clonic,22.2071613,92.2685832,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bandarban Sadar Upazila,ChIJRSwH805prTARKvJpMAmASR8,"6749+VC Bandarban, Bangladesh",7MJJ6749+VC
Memorial Hospital,22.1359468,92.1270343,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Satkania Upazila,ChIJG6AyO6IUrTAR3yH9XAd43LE,"44PG+9R Moneyabad, Bangladesh",7MJJ44PG+9R
Hosne Aziz Child & General Hospital (Lab),22.1359732,92.1261475,5,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Foundation Road, Moneyabad",ChIJjSYc3wAVrTARH0q-kMp_EiU,"44PG+9F Moneyabad, Bangladesh",7MJJ44PG+9F
Union Health Center,22.1288692,92.1263266,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Satkania Upazila,ChIJR7b4818TrTARVGE9rFsk4bw,"44HG+GG Bajalia, Bangladesh",7MJJ44HG+GG
ধর্মপুর ইউনিয়ন উপস্বাস্থ্য কেন্দ্র,22.1403975,92.1008218,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Satkania Upazila,ChIJzepNtZYVrTAR0YaJealM7YI,"44R2+58 Purangar, Bangladesh",7MJJ44R2+58
Bandarban General Hospital,22.1895464,92.2265877,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Bandarban,ChIJf6QD8YhprTAR-zRGaW2gJLA,not found,not found
Upazila Health Complex,22.1784311,92.337698,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Rowangchhari,ChIJhXvckqtnrTARh26LxIHqT80,"58HQ+93 Rowangchhari, Bangladesh",7MJJ58HQ+93
Rowangchhari Upazila Health Complex,22.1785989,92.3374944,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Rowangchhari,ChIJnYPKjKtnrTARCHrWJP3E97k,not found,not found
Upazila Hospital,22.0481227,92.4080238,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Ruma Bazar, Ruma",ChIJXTiueTxjrTARFU5-SD-DD1k,"2CX5+66 Ruma, Bangladesh",7MJJ2CX5+66
"Ruma Upazila Health Complex,Bandarban",22.0475375,92.408214,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Ruma Upazila,ChIJ8UKPLdVjrTARw3vpOR8LclA,"2CX5+27 Ruma, Bangladesh",7MJJ2CX5+27
Ruma Upazila Health Complex,22.0473551,92.4074405,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Ruma,ChIJTzOWdzxjrTARrEASipeXuqE,not found,not found
Upazila Health Complex Lama,21.7738592,92.1950384,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","লামা উপজেলা, Lama Bus Station",ChIJMUktCryfrTAR3CCsNmAib8M,"Q5FW+G2 Lama, Bangladesh",7MHJQ5FW+G2
"Union health and familyplanningcente, bomobilchorry",21.7455081,92.205101,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Lama Upazila,ChIJ96m8NHuZrTARJpGGgBP9alU,"P6W4+62 Lama, Bangladesh",7MHJP6W4+62
