District,Thana,SubOffice,Post Code,location,coordinate
Bandarban,Alikadam,Alikadam,4650,"4650 Alikadam,Bandarban","21.6530087,92.31476769999999"
Bandarban,Bandarban Sadar,Bandarban Sadar,4600,"4600 Bandarban Sadar,Bandarban","22.1820799,92.1953874"
Bandarban,Naikhong,Naikhong,4660,"4660 Naikhong,Bandarban","21.909207,92.5197932"
Bandarban,Roanchhari,Roanchhari,4610,"4610 Roanchhari,Bandarban","22.1814748,92.3381879"
Bandarban,Ruma,Ruma,4620,"4620 Ruma,Bandarban","22.0493692,92.4097559"
Bandarban,Thanchi,Lama,4641,"4641 Lama,Bandarban","21.7937474,92.2630393"
Bandarban,Thanchi,Thanchi,4630,"4630 Thanchi,Bandarban","21.8210961,92.435696"
Brahmanbaria,Akhaura,Akhaura,3450,"3450 Akhaura,Brahmanbaria","23.8686193,91.20972909999999"
Brahmanbaria,Akhaura,Azampur,3451,"3451 Azampur,Brahmanbaria","23.8830895,91.2125298"
Brahmanbaria,Akhaura,Gangasagar,3452,"3452 Gangasagar,Brahmanbaria","23.8289077,91.194214"
Brahmanbaria,Banchharampur,Banchharampur,3420,"3420 Banchharampur,Brahmanbaria","23.7753335,90.80381299999999"
Brahmanbaria,Brahamanbaria Sadar,Ashuganj,3402,"3402 Ashuganj,Brahmanbaria","24.0277383,90.9964085"
Brahmanbaria,Brahamanbaria Sadar,Ashuganj Share,3403,"3403 Ashuganj Share,Brahmanbaria","24.0277383,90.9964085"
Brahmanbaria,Brahamanbaria Sadar,Brahamanbaria Sadar,3400,"3400 Brahamanbaria Sadar,Brahmanbaria","23.9258247,91.1161166"
Brahmanbaria,Brahamanbaria Sadar,Poun,3404,"3404 Poun,Brahmanbaria","23.9675393,91.1119148"
Brahmanbaria,Brahamanbaria Sadar,Talshahar,3401,"3401 Talshahar,Brahmanbaria","24.0295912,91.04124929999999"
Brahmanbaria,Kasba,Chandidar,3462,"3462 Chandidar,Brahmanbaria","23.7713052,91.17684860000001"
Brahmanbaria,Kasba,Chargachh,3463,"3463 Chargachh,Brahmanbaria","23.8094873,91.0880719"
Brahmanbaria,Kasba,Gopinathpur,3464,"3464 Gopinathpur,Brahmanbaria","23.7917949,91.1758395"
Brahmanbaria,Kasba,Kasba,3460,"3460 Kasba,Brahmanbaria","23.745134,91.1486611"
Brahmanbaria,Kasba,Kuti,3461,"3461 Kuti,Brahmanbaria","23.7402172,91.0765746"
Brahmanbaria,Nabinagar,Jibanganj,3419,"3419 Jibanganj,Brahmanbaria","23.9675393,91.1119148"
Brahmanbaria,Nabinagar,Kaitala,3417,"3417 Kaitala,Brahmanbaria","23.8607053,91.0729818"
Brahmanbaria,Nabinagar,Laubfatehpur,3411,"3411 Laubfatehpur,Brahmanbaria","23.9675393,91.1119148"
Brahmanbaria,Nabinagar,Nabinagar,3410,"3410 Nabinagar,Brahmanbaria","23.8882098,90.9605637"
Brahmanbaria,Nabinagar,Rasullabad,3412,"3412 Rasullabad,Brahmanbaria","23.8229245,90.9366845"
Brahmanbaria,Nabinagar,Ratanpur,3414,"3414 Ratanpur,Brahmanbaria","23.7932941,90.9175911"
Brahmanbaria,Nabinagar,Salimganj,3418,"3418 Salimganj,Brahmanbaria","23.8486947,90.85202559999999"
Brahmanbaria,Nabinagar,Shahapur,3415,"3415 Shahapur,Brahmanbaria","23.7784633,90.9104334"
Brahmanbaria,Nabinagar,Shamgram,3413,"3413 Shamgram,Brahmanbaria","23.8342197,90.89938219999999"
Brahmanbaria,Nasirnagar,Fandauk,3441,"3441 Fandauk,Brahmanbaria","24.2291121,91.2424645"
Brahmanbaria,Nasirnagar,Nasirnagar,3440,"3440 Nasirnagar,Brahmanbaria","24.19575,91.1953135"
Brahmanbaria,Sarail,Chandura,3432,"3432 Chandura,Brahmanbaria","24.0468686,91.2289576"
Brahmanbaria,Sarail,Sarial,3430,"3430 Sarial,Brahmanbaria","24.0937992,91.1199922"
Brahmanbaria,Sarail,Shahbajpur,3431,"3431 Shahbajpur,Brahmanbaria","24.0559958,91.20252070000001"
Chandpur,Chandpur Sadar,Baburhat,3602,"3602 Baburhat,Chandpur","23.2599013,90.69065069999999"
Chandpur,Chandpur Sadar,Chandpur Sadar,3600,"3600 Chandpur Sadar,Chandpur","23.2320991,90.66307499999999"
