Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Kaliganj Community Clinic,23.2488326,88.0884233,2.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","শিবগঞ্জ উপজেলা, 6300",ChIJfVLczIBR-jkRycQoU8sym_k,"223F+C9 Baliati, Bangladesh",7MPCP3VQ+G9
Rima Dental Care,23.7866821,88.0965834,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Monakasa Road, Monakasa",ChIJ4382DDNT-jkRT2eKXKFY5l4,"2265+P7 Jaldhaka, Bangladesh",7MPCP38W+4J
Anok Government Hospital,24.020975,88.097024,3.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Chauka,ChIJCZHdrDdT-jkRKimpxqvHsxg,"2268+VQ Sherpur, Bangladesh",7MPCP38W+QR
Binodpur Government Hospital,22.8443239,88.1033705,3.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Binodpur,ChIJ5_pkGI9T-jkRx-6g2OB80yc,"2277+C2 Baliati, Bangladesh",7MPCP4Q3+C8
Binodpur hospital,23.6568171,88.1059495,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Binodpur,ChIJVVVVlTZS-jkRT-7FRbcZs7k,"2288+87 Sherpur, Bangladesh",7MPCP4R4+X9
Public Health Care Hospital,23.5478112,88.1086993,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Chauka Arazi, Bankul",ChIJn5iFNUJN-jkRhPaGb5uBH_0,"2288+C7 Sherpur, Bangladesh",7MPCM4X5+7F
Haripur Upazila Health Complex,22.8650774,88.1324536,4.3,19,"['hospital', 'health', 'point_of_interest', 'establishment']",Haripur,ChIJ2fNTI3wo5TkRKEF-OVtxEHU,"2296+JQ Kotalipara, Bangladesh",7MQCR4MJ+CX
Jannat Dental Care & Dental X- Ray,24.7634472,88.1346658,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","হরিপুর উপজেলা, Moslemuddin college road, kaligong",ChIJWSmfsUIp5TkRHaycZHlHb2g,"2297+J7 Sherpur, Bangladesh",7MQCR4GM+3V
Koilardiar Community Clinic,24.8215712,88.1348521,2.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Shyampur,ChIJzXlQzwVT-jkRgrOPOUnKb8M,"2299+R9 Sherpur, Bangladesh",7MPCQ45M+WW
Popular Hospital,26.3381726,88.1545416,3,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Z6816, Shibganj",ChIJwRgKMKhN-jkRtksKtNcPXuQ,"2299+WF Sherpur, Bangladesh",7MPCM5H3+GR
