Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Pramanikpara Community Clinic,26.5121742,88.401609,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Tetulia Upazila,ChIJvTj1Xwdc5DkR-iPOaR8Ds6U,"GC62+VJ Kanchabari, Bangladesh",7MRCGC62+VJ
Tetulia sadar hospital,26.4954734,88.3353175,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJc8i4wVpZ5DkReE64z-IH0JM,"F8WP+54 Tentulia, Bangladesh",7MRCF8WP+54
Tentulia Upazila Health Complex,26.4923757,88.3424648,4.2,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Tentulia,ChIJKd7NWO1Z5DkR3pcHzfqncHo,"F8RR+XX Tentulia, Bangladesh",7MRCF8RR+XX
Awliar hut community clinic,26.4375675,88.9581744,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Sreerampur,ChIJseWCX0Cd4zkRVtF6b-7tTNM,"CXQ5+27 Sreerampur, Bangladesh",7MRCCXQ5+27
Tongtingdanga Hospital,26.3752099,89.0649323,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Patgram Upazila,ChIJgeU6VdV14zkRgU8_llImKX4,"93G7+3X Jagatber, Bangladesh",7MRF93G7+3X
Health Care Diagnostic Centre,26.3569512,89.0083726,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital rood, Patgram",ChIJqbB66ZB34zkRF9EvkvNho7w,"9245+Q8 Patgram, Bangladesh",7MRF9245+Q8
"Patgram Medical,পাটগ্রাম স্বাস্থ্য কমপ্লেক্স",26.3493378,89.0162304,3.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Patgram,ChIJY55rQ5524zkRG1vPhbj4BrQ,"82X8+PF Patgram, Bangladesh",7MRF82X8+PF
Patgram Upazila Health Complex,26.3492592,89.0164395,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Patgram,ChIJXaa-SJ524zkRwAQI_HKaYlQ,not found,not found
Health Care Diagnostic & Consultation Centre,26.3477845,89.0162083,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Patgram,ChIJPxJj6Yl34zkRoIc_5xnYvG8,"82X8+4F Patgram, Bangladesh",7MRF82X8+4F
Mokbular Rahaman Diabetic Hospital,26.3444856,88.5566446,4,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchagarh,ChIJBRGNhN-L5DkRCxExIiapG2E,"8HV4+QM Panchagarh, Bangladesh",7MRC8HV4+QM
mokbular rahman diabetic hospital panchagarh,26.3443889,88.5569404,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Tetulia Bus Terminal, Panchagarh - Banglabandha Highway",ChIJOfgX0YaJ5DkRsYFCFcewClo,"8HV4+QQ Panchagarh, Bangladesh",7MRC8HV4+QQ
Diabetic Hospital Panchagarh,26.3443531,88.5569907,4.6,8,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchagarh,ChIJKTLf0mGJ5DkRKIvVw1LfSkM,"8HV4+PQ Panchagarh, Bangladesh",7MRC8HV4+PQ
রওশন ক্লিনিক,26.3415537,88.5554937,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchagarh,ChIJbc4u47SL5DkRs0nOcJ21G8Q,"8HR4+J5 Panchagarh, Bangladesh",7MRC8HR4+J5
"Adhunik Sadar Hospital, Panchagarh",26.3396178,88.5565431,4.7,19,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchagarh,ChIJpbvjHeCL5DkRktM7KaA3Whk,"8HQ4+RJ Panchagarh, Bangladesh",7MRC8HQ4+RJ
Northan Diagnostic centre,26.3383673,88.5556687,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Panchagarh - Banglabandha Highway, Panchagarh",ChIJ0wKtNOCL5DkRaOIcKhUvrQ4,"8HQ4+87 Panchagarh, Bangladesh",7MRC8HQ4+87
New Life Clinic Panchagarh,26.3382089,88.5527917,4.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchagarh,ChIJjdFaIOGL5DkRb3IKBwtTcec,"8HQ3+74 Panchagarh, Bangladesh",7MRC8HQ3+74
Update Diagnostic & Consultation Center,26.3381726,88.5556462,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","N5, Panchagarh",ChIJpQ-GJzSL5DkRr_A8qx0hW4E,"8HQ4+77 Panchagarh, Bangladesh",7MRC8HQ4+77
Marie Stopes Mini Clinic,26.3377492,88.5552109,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","N 5, Panchagarh",ChIJR9I_yOGL5DkRasNcIYfuXEs,"8HQ4+33 Panchagarh, Bangladesh",7MRC8HQ4+33
City General Hospital,26.3373655,88.5554175,4,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchagarh,ChIJuZ0Wx-GL5DkRzixd3mqDKGs,"8HP4+W5 Panchagarh, Bangladesh",7MRC8HP4+W5
New popular dental care,26.3362225,88.5550836,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","N5, Panchagarh",ChIJO5Zq1MGL5DkR3zlFLhT-_Qk,"8HP4+F2 Panchagarh, Bangladesh",7MRC8HP4+F2
নিউ পপুলার ডেন্টাল কেয়ার,26.3308637,88.5563278,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchagarh,ChIJFT2uuTeL5DkRyxN5THcnfjA,"8HJ4+8G Panchagarh, Bangladesh",7MRC8HJ4+8G
Kuchlibari Union Health and Family Welfare Center,26.3149122,89.022891,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Kuchlibari,ChIJM1Jy9_tz4zkRjpt_jUlfAEk,"827F+X5 Kuchlibari, Bangladesh",7MRF827F+X5
Dahagram Hospital,26.3046685,88.9448458,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Tin Bigha Corridor - Dahgram Road, Dahagram",ChIJA95VwKZw4zkRbgmqVQLtESE,"8W3V+VW Dahagram, Bangladesh",7MRC8W3V+VW
Dolly Welayet Rotary Hospital,26.2864252,89.0623681,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Lalmonirhat - Phulbari Road,ChIJXf40S3hz4zkRfO-QH-QOWLs,"73P6+HW Jongra, Bangladesh",7MRF73P6+HW
"কালেশ্বর কমিউনিটি ক্লিনিক,পঞ্চগড়",26.2839087,88.5174681,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",,ChIJiR1F9_-N5DkRlBJTCsRh9Rs,"7GM8+HX Magura, Bangladesh",7MRC7GM8+HX
কালেশ্বর কমিউনিটি ক্লিনিক,26.28386,88.517523,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",B652,ChIJq5lXOSuN5DkRnHGOwbtwLo0,"7GM9+G2 Magura, Bangladesh",7MRC7GM9+G2
Haque Health & Mothers Care Center,26.2812589,88.5882086,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Z5021,ChIJseWOIfuO5DkRJ9Wcv-hDhgg,"7HJQ+G7 Banagram, Bangladesh",7MRC7HJQ+G7
