Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID
Eastern Medical College & Hospital,23.4792405,91.0731434,4.3,109,"['hospital', 'university', 'health', 'point_of_interest', 'establishment']",Dhaka - Chittagong Highway,ChIJt6B8tdZ-VDcRivKZlPdt3bo
Eye Hospital,23.4698392,91.1375577,4.6,19,"['hospital', 'health', 'point_of_interest', 'establishment']",Comilla Adarsha Sadar Upazila,ChIJp5Tqsqt-VDcRrTa_LygQrDQ
"AFC Health Fortis Heart Institute, Cumilla",23.4696747,91.1480904,4.4,40,"['hospital', 'health', 'point_of_interest', 'establishment']","Alekhar Chor, Cumilla",ChIJB9popbN-VDcR037Ej92_S_o
Doctors Community Hospital,23.3767289,91.0576272,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Lalmai-Barura Road, Barura",ChIJGW1caQCIVDcRevbP5j3CqLA
Renesa Hospital,23.37643,91.0580833,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Lalmai-Barura Road, Barura",ChIJU-jCegCIVDcRS3JiNVa6FZA
Medicare Hospital,23.3764341,91.058567,4.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Barura Upazila,ChIJ591lAaSJVDcRXWg0noAZBYI
"উপজেলা সাস্থ কমপ্লেক্স, বরুড়া উপজেলা, কুমিল্লা",23.3767261,91.0592553,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Barura,ChIJ2bOVMJmHVDcRPwIWzNgEG0U
"Upazila Protibandhi Hospital, Barura",23.3764126,91.0496241,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Barura Road,ChIJFwd32gKIVDcRSBHF5Il6AMA
"Surjer Hashi Clinic, Barura",23.3788102,91.0490609,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Barura-Jhalam Road, Barura",ChIJLSCuqgKIVDcRcgpLaPG-xLc
Mukti Hospital (Pvt) Limited,23.374854,91.0616706,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Lalmai-Barura Road,ChIJKXBxuc2HVDcRW4tSrf0bbDc
ফেয়ার হসপিটাল,23.3749196,91.0625293,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Barura Upazila, Barura Bazar moulovi Bazar, Barura,Comilla Barura bazar 3600",ChIJ5dNexf6HVDcRNaylyjrUQ3s
Fair Hospital,23.3749325,91.062936,5,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Barura Upazila,ChIJzyO0z_6HVDcR97cezDA7TSQ
Shurjer Hashi Medical Center,23.3892059,91.0542047,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Barura Upazila, Puran Kadba",ChIJPeGM3a1iVDcRXRutIWgh4uo
PROTIBONDI SAHAJO SABE KINDRO,23.3814701,91.0312728,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Barura-Jhalam Road,ChIJYSddjRJjVDcRaWpDt7_NPXE
"Medicare Hospital,Barura",23.3551064,91.0394635,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Barura Upazila,ChIJBbjyoOGJVDcRW1iIvDuTZYw
Madina Pharmacy (Dr. M A Samad),23.4082455,91.0550925,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Moguji bazar Barura, Comilla",ChIJW3Ndi8tiVDcRE5DgC7efKEQ
কমিউনিটি ক্লিনিক,23.3457944,91.0501596,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Barura Upazila,ChIJDdjpNXCIVDcRD3kVa6byOtg
চোওরী কমিউনিটি ক্লিনিক,23.3457242,91.0501656,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","চোওরী, পোষ্ট অফিস:",ChIJNQlDjWKJVDcRwueBexVFA0Q
Prime Hospital Barura,23.4039661,91.0877645,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Mowlovi Bazar,ChIJA31-1ft9VDcR2Ltl5cUlelg
মা মেডিকেল হল,23.3942858,91.101936,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",বাতাইছরি,ChIJzSjxEvh9VDcRo8u50aSr82Q
Laksam Diagnostic Center and Hospital,23.2372684,91.1238818,4.3,4,"['hospital', 'health', 'point_of_interest', 'establishment']","R141, Laksam",ChIJwapz8mKEVDcRrklR9RmWzh4
Chandpuri shah Hospital,23.1822843,91.092512,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Laksam,ChIJFdPLA9SaVDcRBGFQBFa7gMc
M/S PROTEIN SOLUTION,23.270339,91.0454456,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Laksam Upazila,ChIJI8__S8aPVDcR5M3Dq7OwprY
Mudapharaganja Diagnostic Center,23.2693084,91.0433981,3.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Comilla - Chandpur Highway, Muddafarganj",ChIJmyzNZUaPVDcRT5s7k3kYyEM
Muddafarganj Health Care Hospital,23.272004,91.0487518,4.2,5,"['hospital', 'health', 'point_of_interest', 'establishment']","Comilla - Chandpur Highway, Muddafarganj",ChIJ27Wz_k-PVDcRuc6S1QT8f2g
সূর্যের হাসি ক্লিনিক,23.2694646,91.0508132,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Laksam - Muddafarganj Road, Muddafarganj",ChIJPxh0zTmPVDcRBb0npoMyhSU
Health Care Home,23.2721543,91.0489635,3,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Comilla - Chandpur Highway, Muddafarganj",ChIJn6vq_U-PVDcRbKv3iUWRGAM
Ansariya Modern Hospital,23.268295,91.054441,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Muddafarganj,ChIJaXurcFmPVDcRZcqCYO_YoI4
Kalora Community Clinic,23.2914361,91.0360911,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Barura Upazila,ChIJh7A9FMmIVDcRNUpcJXBJDBE
Surjer Hasi Clinic,23.2638228,91.086351,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Laksam - Muddafarganj Road,ChIJV31LQDGFVDcROhFvSVBiDjw
চন্ডিপুর সরকারি স্বাস্থ্য সেবা কেন্দ্র।,23.2332778,91.0252057,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Barura Upazila,ChIJCwKvKaaPVDcR9FZ6c0t2lrI
Payalgacha Medical Centre,23.283737,91.0016468,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Payalgacha - Shantair Bazar Road,ChIJ46EBrcqOVDcRvFdhA-8G5V4
মুগগাঁও কমিওনিটি ক্লিনিক,23.3136567,91.0401023,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Barura Upazila,ChIJs2U4sKeJVDcR68Bl6z3rGZ0
Noapara Community Clinic,23.2633224,91.0960766,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Laksam Upazila,ChIJU616O8uFVDcRsuVJluZUr0Y
Chondipur Hospital,23.2277799,91.0241066,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","শাহরাস্তি উপজেলা, Chandipur",ChIJ4dJUm7iPVDcREB3j3VQU9ak
SM Safi Hospital,23.3044347,91.0783312,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Puluya,ChIJI5t312qGVDcROP--JhpoRV0
রায়শ্রী কমিউনিটি ক্লিনিক,23.2377233,91.0091933,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Shahrasti Upazila,ChIJlcAyIsaPVDcRv14mfvgWSeA
মেসার্স বাংলাদেশ ফার্মাসী,23.2623794,90.9948434,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Jagatpur - Changini Road,ChIJFcahsL2OVDcRj-cAdFO7isI
Payalgacha Health Community Center,23.2864262,90.9975371,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Kachua Upazila,ChIJHcA8c0uJVDcRscjde7GohLA
Gyas Chowdhury Hospital,23.2864227,90.9975203,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Payalgacha - Shantair Bazar Road,ChIJiQwP65KJVDcR_nHCVQawBWo
Cumilla Medical College Hospital,23.4515415,91.2029603,4.4,211,"['hospital', 'health', 'point_of_interest', 'establishment']","Kuchaitoli, Doctor Akhtar Hameed Khan Road, কুমিল্লা",ChIJawVBzkJ_VDcRKSUk-uPiBA8
Moon Hospital Limited,23.464159,91.176425,3.8,99,"['hospital', 'health', 'point_of_interest', 'establishment']","Shahid Khawaja Nizamuddin Road, Cumilla",ChIJB5l0Ail_VDcRWQKr9Y-6y8I
Mother Care Center,23.4574801,91.1833614,4.2,25,"['hospital', 'health', 'point_of_interest', 'establishment']","523, Govt. Women's College Road, কুমিল্লা",ChIJYR6ZMjt_VDcRNLh053OOspk
Momota Ma O Shishu General Haspatal,23.4596091,91.1748746,4.6,5,"['hospital', 'health', 'point_of_interest', 'establishment']","Ranir Bazar, কুমিল্লা",ChIJ49io6id_VDcRcyJPfcNKXIg
Comilla Police Hospital,23.4665149,91.1730962,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Cumilla,ChIJjUUHENZ-VDcRNC7kAVWS-2s
কাকিয়ারচর কমিউনিটি ক্লিনিক,23.4606574,91.1809065,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",কাকিয়ারচর,ChIJweQ6ozF_VDcR1aIqgnddjv0
homio pathik collage,23.4606574,91.1809065,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Comilla poraton, Chowdhury Para",ChIJ4aPj5y1_VDcRZWAFTAxEIMw
"সেবা এ্যাম্বুলেন্স সার্ভিস,কুমিল্লা।",23.4606574,91.1809065,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","কুমিল্লা মেডিক্যাল কলেজ হাসপাতাল,কুমিল্লা।, Cumilla",ChIJiQRjJ6x_VDcRIX6YtryVJoA
Jalgaon kobiraj,23.4606574,91.1809065,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Unnamed Road, Cumilla",ChIJ8Xuzz-F9VDcRC8aIlfc0--4
