,District,Thana,SubOffice,Post Code,location,coordinate
0,Cumilla,Barura,Barura,3560,"3560 Barura,Cumilla","23.3773279,91.05502220000001"
1,Cumilla,Barura,Murdafarganj,3562,"3562 Murdafarganj,Cumilla","23.2687282,91.04664369999999"
2,Cumilla,Barura,Poyalgachha,3561,"3561 Poyalgachha,Cumilla","23.4606574,91.1809065"
3,Cumilla,Brahmanpara,Brahmanpara,3526,"3526 Brahmanpara,Cumilla","23.6225266,91.1017334"
4,Cumilla,Burichang,Burichang,3520,"3520 Burichang,Cumilla","23.550142,91.130051"
5,Cumilla,Burichang,Maynamoti bazar,3521,"3521 Maynamoti bazar,Cumilla","23.4324461,91.17120729999999"
6,Cumilla,Chandina,Chandia,3510,"3510 Chandia,Cumilla","23.4892481,91.00836369999999"
7,Cumilla,Chandina,Madhaiabazar,3511,"3511 Madhaiabazar,Cumilla","23.5027943,90.9385157"
8,Cumilla,Chandina,Mohichail,3510,"3510 Mohichail,Cumilla","23.4569401,90.9390718"
9,Cumilla,Chouddagram,Batisa,3551,"3551 Batisa,Cumilla","23.1980563,91.31711059999999"
10,Cumilla,Chouddagram,Chiora,3552,"3552 Chiora,Cumilla","23.1465076,91.31155609999999"
11,Cumilla,Chouddagram,Chouddagram,3550,"3550 Chouddagram,Cumilla","23.4284477,91.1905094"
12,Cumilla,Comilla Sadar,Comilla Contoment,3501,"3501 Comilla Contoment,Cumilla","23.4789463,91.1184676"
13,Cumilla,Comilla Sadar,Comilla Sadar,3500,"3500 Comilla Sadar,Cumilla","23.4606574,91.1809065"
14,Cumilla,Comilla Sadar,Courtbari,3503,"3503 Courtbari,Cumilla","23.4373994,91.1327398"
15,Cumilla,Comilla Sadar,Halimanagar,3502,"3502 Halimanagar,Cumilla","23.4438757,91.14106129999999"
16,Cumilla,Comilla Sadar,Suaganj,3504,"3504 Suaganj,Cumilla","23.4606574,91.1809065"
17,Cumilla,Daudkandi,Dashpara,3518,"3518 Dashpara,Cumilla","23.3479306,91.1095237"
18,Cumilla,Daudkandi,Daudkandi,3516,"3516 Daudkandi,Cumilla","23.5337738,90.7247008"
19,Cumilla,Daudkandi,Eliotganj,3519,"3519 Eliotganj,Cumilla","23.5131462,90.8693009"
20,Cumilla,Daudkandi,Gouripur,3517,"3517 Gouripur,Cumilla","23.5381718,90.7794308"
21,Cumilla,Davidhar,Barashalghar,3532,"3532 Barashalghar,Cumilla","23.6824267,91.0442502"
22,Cumilla,Davidhar,Davidhar,3530,"3530 Davidhar,Cumilla","23.4606574,91.1809065"
23,Cumilla,Davidhar,Dhamtee,3533,"3533 Dhamtee,Cumilla","23.5399771,90.9868468"
24,Cumilla,Davidhar,Gangamandal,3531,"3531 Gangamandal,Cumilla","23.4606574,91.1809065"
25,Cumilla,Homna,Homna,3546,"3546 Homna,Cumilla","23.6824728,90.78329079999999"
26,Cumilla,Laksam,Bipulasar,3572,"3572 Bipulasar,Cumilla","23.077651,91.10836309999999"
27,Cumilla,Laksam,Laksam,3570,"3570 Laksam,Cumilla","23.254613,91.1240595"
28,Cumilla,Laksam,Lakshamanpur,3571,"3571 Lakshamanpur,Cumilla","23.1117512,91.0756463"
29,Cumilla,Langalkot,Chhariabazar,3582,"3582 Chhariabazar,Cumilla","23.4606574,91.1809065"
30,Cumilla,Langalkot,Dhalua,3581,"3581 Dhalua,Cumilla","23.1259279,91.2373729"
31,Cumilla,Langalkot,Gunabati,3583,"3583 Gunabati,Cumilla","23.0880435,91.29791349999999"
32,Cumilla,Langalkot,Langalkot,3580,"3580 Langalkot,Cumilla","23.1694062,91.1977158"
33,Cumilla,Muradnagar,Bangra,3543,"3543 Bangra,Cumilla","23.4606574,91.1809065"
34,Cumilla,Muradnagar,Companyganj,3542,"3542 Companyganj,Cumilla","23.6375372,90.96952189999999"
35,Cumilla,Muradnagar,Muradnagar,3540,"3540 Muradnagar,Cumilla","23.6444895,90.92713669999999"
36,Cumilla,Muradnagar,Pantibazar,3545,"3545 Pantibazar,Cumilla","23.5603277,90.8895347"
37,Cumilla,Muradnagar,Ramchandarpur,3541,"3541 Ramchandarpur,Cumilla","23.7176378,90.8830071"
38,Cumilla,Muradnagar,Sonakanda,3544,"3544 Sonakanda,Cumilla","23.5421339,90.9130924"
