Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
United Hospital Limited,23.8046243,90.4154716,4,1069,"['hospital', 'health', 'point_of_interest', 'establishment']","Plot # 15 Road No 71, Dhaka",ChIJFe1B2avHVTcRfAScTk7fUfE,"RC38+R5 Dhaka, Bangladesh",7MMGRC38+R5
Evercare Hospital Dhaka,23.8099066,90.4310576,3.9,1190,"['hospital', 'health', 'point_of_interest', 'establishment']","Plot: 81 Block: E, ঢাকা",ChIJm4FmrMrHVTcRZG3XJZVgzZI,"RC5J+XC Dhaka, Bangladesh",7MMGRC5J+XC
Square Hospital,23.7531527,90.3817306,4.2,1409,"['hospital', 'health', 'point_of_interest', 'establishment']","18/F, Bir Uttam Qazi Nuruzzaman Sarak West, Panthapath, Dhaka",ChIJvepSTq64VTcRwcKpyXMYOxE,"Q93J+7M Dhaka, Bangladesh",7MMGQ93J+7M
Radda MCH-FP Centre,23.7984923,90.3512621,5,5,"['hospital', 'health', 'point_of_interest', 'establishment']","Section 1, Plot-10, Dhaka",ChIJi-JRVe_AVTcRbUhKDFqNMPI,"Q9X2+9G Dhaka, Bangladesh",7MMGQ9X2+9G
Radical Hospital,23.8695959,90.3837999,3.7,46,"['hospital', 'health', 'point_of_interest', 'establishment']","35 Shah Makhdum Avenue, Dhaka",ChIJA4I6VwXEVTcRQfJOahFnhrc,"V99M+RG Dhaka, Bangladesh",7MMGV99M+RG
Government Unani and Ayurvedic Medical College,23.8040938,90.3781197,4.1,120,"['hospital', 'university', 'health', 'point_of_interest', 'establishment']","Mirpur Bridge Road, Dhaka",ChIJP1APdizHVTcR5CwOxHObZcA,"R93H+J6 Dhaka, Bangladesh",7MMGR93H+J6
Exim Bank Hospital,23.7963709,90.3734275,3.9,69,"['hospital', 'health', 'point_of_interest', 'establishment']","840, Begum Rokeya Avenue Sarani, Dhaka",ChIJTxUKGs3AVTcRip0LpCzLOzU,"Q9WF+G9 Dhaka, Bangladesh",7MMGQ9WF+G9
National Institute of Cancer Research & Hospital (NICRH),23.7783033,90.4097044,4.2,202,"['hospital', 'health', 'point_of_interest', 'establishment']","TB Gate Road, Dhaka",ChIJE7M65nbHVTcRFLpQy7otNS0,"QCH5+8V Dhaka, Bangladesh",7MMGQCH5+8V
Radda MCH-FP Centre,23.8241404,90.3654349,4.3,7,"['hospital', 'health', 'point_of_interest', 'establishment']","Plot# 159/A, Block# A, Section# 12, Mirpur, Road No 2/1, Dhaka",ChIJv05JmDrBVTcRBpD0pTtIZtQ,"R9F8+M5 Dhaka, Bangladesh",7MMGR9F8+M5
Dhaka Central International Medical College & Hospital (DCIMCH),23.7736441,90.3611638,3.9,239,"['hospital', 'health', 'point_of_interest', 'establishment']","2, 1 Ring Road, Dhaka",ChIJ5diXu6TAVTcR9tmtHgcUpmI,"Q9F6+FF Dhaka, Bangladesh",7MMGQ9F6+FF
Hi-tech Multicare Hospital,23.7881894,90.3881438,3.7,164,"['hospital', 'health', 'point_of_interest', 'establishment']","164 East Kafrul Road, Dhaka",ChIJGXMwxzjHVTcRX4ug0reN8U8,"Q9QQ+77 Dhaka, Bangladesh",7MMGQ9QQ+77
SAU Medical Center,23.770409,90.3733259,3,6,"['hospital', 'health', 'point_of_interest', 'establishment']","Sher-e-Bangla Agricultural University, Dhaka",ChIJSQSQ7KzAVTcRScWqeiw1nTk,"Q9CF+58 Dhaka, Bangladesh",7MMGQ9CF+58
National Center for Hearing and Speech for Children,23.7773466,90.3995529,4.4,127,"['hospital', 'health', 'point_of_interest', 'establishment']","Mohakhali, Mohakhali Health Complex, Dhaka",ChIJj1UyH2_HVTcRC_-szeFurTo,"Q9GX+WR Dhaka, Bangladesh",7MMGQ9GX+WR
DR. AZMAL HOSPITAL LTD.,23.8089744,90.3674995,3.7,98,"['hospital', 'health', 'point_of_interest', 'establishment']","Plot 5 Road No. 4, Dhaka",ChIJMRhBttfAVTcRN0Vmc2_Nz7Y,"R958+HX Dhaka, Bangladesh",7MMGR958+HX
The ENT and Head Neck Cancer Hospital and Institute,23.7760585,90.3688365,4.4,83,"['hospital', 'health', 'point_of_interest', 'establishment']","Plot No.-F, 12 West Agargaon, Dhaka",ChIJ_yV1wbHAVTcRvvXETLxUNbw,"Q9G9+CG Dhaka, Bangladesh",7MMGQ9G9+CG
National Healthcare Network,23.8065212,90.36723,4.3,38,"['hospital', 'health', 'point_of_interest', 'establishment']","Commercial Plot No: 27-28, Main Road, 01 Section- 06, Dhaka",ChIJ834vG9fAVTcRF1bBH8hNq_A,"R948+JV Dhaka, Bangladesh",7MMGR948+JV
