District,Thana,SubOffice,Post Code
Dhaka,Dhaka,Dhaka Cantonment--TSO,1206
Dhaka,Dhamrai,Dhamrai,1350
Dhaka,Dhamrai,Kalampur,1351
Dhaka,Dhanmondi,Jigatala TSO,1209
Dhaka,Gulshan,Banani TSO,1213
Dhaka,Gulshan,Badda,1212
Dhaka,Gulshan,Gulshan Model Town,1212
Dhaka,Jatrabari,Dhania TSO,1236
Dhaka,Dohar,Meghula,1330
Dhaka,Dohar,Joypara,1331
Dhaka,Dohar,Narisha,1332
Dhaka,Dohar,Palamganj,1331
Dhaka,Keraniganj,Ati,1312
Dhaka,Keraniganj,Dhaka Jute Mills,1311
Dhaka,Keraniganj,Kalatia,1313
Dhaka,Keraniganj,Keraniganj,1310
Dhaka,Khilgaon,KhilgaonTSO,1219
Dhaka,Khilkhet,KhilkhetTSO,1229
Dhaka,Lalbag,Posta TSO,1211
Dhaka,Mirpur,Mirpur TSO,1216
Dhaka,Mohammadpur,Mohammadpur Housing,1207
Dhaka,Mohammadpur,Sangsad BhabanTSO,1225
Dhaka,Motijheel,BangabhabanTSO,1222
Dhaka,Motijheel,DilkushaTSO,1223
Dhaka,Nawabganj,Agla,1323
Dhaka,Nawabganj,Churain,1325
Dhaka,Nawabganj,Daudpur,1322
Dhaka,Nawabganj,Hasnabad,1321
Dhaka,Nawabganj,Khalpar,1324
Dhaka,Nawabganj,Nawabganj,1320
Dhaka,Kalabagan (Old New market),Kalabagan,1205
Dhaka,Palton,Dhaka GPO,1000
Dhaka,Ramna,Shantinagr TSO,1217
Dhaka,Sabujbag,Basabo TSO,1214
Dhaka,Savar,Amin Bazar,1348
Dhaka,Savar,Dairy Farm,1341
Dhaka,Savar,EPZ,1349
Dhaka,Savar,Jahangirnagar University,1342
Dhaka,Savar,Kashem Cotton Mills,1346
Dhaka,Savar,Rajphulbaria,1347
Dhaka,Savar,Savar,1340
Dhaka,Savar,Savar Canttonment,1344
Dhaka,Savar,Saver P.A.T.C,1343
Dhaka,Savar,Shimulia,1345
Dhaka,Sutrapur,Dhaka Sadar HO,1100
Dhaka,Sutrapur,Gandaria TSO,1204
Dhaka,Sutrapur,Wari TSO,1203
Dhaka,Tejgaon,Tejgaon TSO,1215
Dhaka,Tejgaon Industrial Area,Dhaka Politechnic,1208
