District,Thana,SubOffice,Post Code,location,coordinate
Dhaka,Dhaka,Dhaka Cantonment--TSO,1206,"1206 Dhaka Cantonment--TSO,Dhaka","23.8282405,90.3889622"
Dhaka,Dhamrai,Dhamrai,1350,"1350 Dhamrai,Dhaka","23.9148319,90.2174318"
Dhaka,Dhamrai,Kalampur,1351,"1351 Kalampur,Dhaka","23.9208537,90.15652089999999"
Dhaka,Dhanmondi,Jigatala TSO,1209,"1209 Jigatala TSO,Dhaka","23.7393218,90.3753591"
Dhaka,Gulshan,Banani TSO,1213,"1213 Banani TSO,Dhaka","23.810332,90.4125181"
Dhaka,Gulshan,Badda,1212,"1212 Badda,Dhaka","23.7730885,90.4205739"
Dhaka,Gulshan,Gulshan Model Town,1212,"1212 Gulshan Model Town,Dhaka","23.7969633,90.41534440000001"
Dhaka,Jatrabari,Dhania TSO,1236,"1236 Dhania TSO,Dhaka","23.7016579,90.4443409"
Dhaka,Dohar,Meghula,1330,"1330 Meghula,Dhaka","23.5794726,90.1435881"
Dhaka,Dohar,Joypara,1331,"1331 Joypara,Dhaka","23.6144619,90.1261013"
Dhaka,Dohar,Narisha,1332,"1332 Narisha,Dhaka","23.5666481,90.1478908"
Dhaka,Dohar,Palamganj,1331,"1331 Palamganj,Dhaka","23.6962272,90.4208653"
Dhaka,Keraniganj,Ati,1312,"1312 Ati,Dhaka","23.7303959,90.3341088"
Dhaka,Keraniganj,Dhaka Jute Mills,1311,"1311 Dhaka Jute Mills,Dhaka","23.6872147,90.42223899999999"
Dhaka,Keraniganj,Kalatia,1313,"1313 Kalatia,Dhaka","23.729521,90.29813399999999"
Dhaka,Keraniganj,Keraniganj,1310,"1310 Keraniganj,Dhaka","23.7012425,90.3975717"
Dhaka,Khilgaon,KhilgaonTSO,1219,"1219 KhilgaonTSO,Dhaka","23.7522386,90.41737069999999"
Dhaka,Khilkhet,KhilkhetTSO,1229,"1229 KhilkhetTSO,Dhaka","23.8360027,90.4342825"
Dhaka,Lalbag,Posta TSO,1211,"1211 Posta TSO,Dhaka","23.8645189,90.3965795"
Dhaka,Mirpur,Mirpur TSO,1216,"1216 Mirpur TSO,Dhaka","23.8033097,90.36121849999999"
Dhaka,Mohammadpur,Mohammadpur Housing,1207,"1207 Mohammadpur Housing,Dhaka","23.7616219,90.3544344"
Dhaka,Mohammadpur,Sangsad BhabanTSO,1225,"1225 Sangsad BhabanTSO,Dhaka","23.762638,90.3785633"
Dhaka,Motijheel,BangabhabanTSO,1222,"1222 BangabhabanTSO,Dhaka","23.810332,90.4125181"
Dhaka,Motijheel,DilkushaTSO,1223,"1223 DilkushaTSO,Dhaka","23.7270825,90.4191534"
Dhaka,Nawabganj,Agla,1323,"1323 Agla,Dhaka","23.6515971,90.2060525"
Dhaka,Nawabganj,Churain,1325,"1325 Churain,Dhaka","23.6882723,90.4431618"
Dhaka,Nawabganj,Daudpur,1322,"1322 Daudpur,Dhaka","23.6836729,90.08460559999999"
Dhaka,Nawabganj,Hasnabad,1321,"1321 Hasnabad,Dhaka","23.6820983,90.4242608"
Dhaka,Nawabganj,Khalpar,1324,"1324 Khalpar,Dhaka","23.7314557,90.435012"
Dhaka,Nawabganj,Nawabganj,1320,"1320 Nawabganj,Dhaka","23.653123,90.1518394"
Dhaka,Kalabagan (Old New market),Kalabagan,1205,"1205 Kalabagan,Dhaka","23.7494231,90.3830754"
Dhaka,Palton,Dhaka GPO,1000,"1000 Dhaka GPO,Dhaka","23.7282471,90.4111191"
Dhaka,Ramna,Shantinagr TSO,1217,"1217 Shantinagr TSO,Dhaka","23.7381866,90.41428529999999"
Dhaka,Sabujbag,Basabo TSO,1214,"1214 Basabo TSO,Dhaka","23.7426044,90.4307836"
Dhaka,Savar,Amin Bazar,1348,"1348 Amin Bazar,Dhaka","23.7844708,90.334891"
Dhaka,Savar,Dairy Farm,1341,"1341 Dairy Farm,Dhaka","23.810332,90.4125181"
Dhaka,Savar,EPZ,1349,"1349 EPZ,Dhaka","23.9501366,90.27326210000001"
Dhaka,Savar,Jahangirnagar University,1342,"1342 Jahangirnagar University,Dhaka","23.8790605,90.2690466"
Dhaka,Savar,Kashem Cotton Mills,1346,"1346 Kashem Cotton Mills,Dhaka","23.810332,90.4125181"
Dhaka,Savar,Rajphulbaria,1347,"1347 Rajphulbaria,Dhaka","23.8127893,90.2573029"
Dhaka,Savar,Savar,1340,"1340 Savar,Dhaka","23.8478798,90.2575646"
Dhaka,Savar,Savar Canttonment,1344,"1344 Savar Canttonment,Dhaka","23.8282405,90.3889622"
Dhaka,Savar,Saver P.A.T.C,1343,"1343 Saver P.A.T.C,Dhaka","23.810332,90.4125181"
Dhaka,Savar,Shimulia,1345,"1345 Shimulia,Dhaka","23.7922877,90.0110756"
Dhaka,Sutrapur,Dhaka Sadar HO,1100,"1100 Dhaka Sadar HO,Dhaka","23.7066983,90.41110069999999"
Dhaka,Sutrapur,Gandaria TSO,1204,"1204 Gandaria TSO,Dhaka","23.7024528,90.4260691"
Dhaka,Sutrapur,Wari TSO,1203,"1203 Wari TSO,Dhaka","23.7173513,90.4178201"
Dhaka,Tejgaon,Tejgaon TSO,1215,"1215 Tejgaon TSO,Dhaka","23.759815,90.39131719999999"
Dhaka,Tejgaon Industrial Area,Dhaka Politechnic,1208,"1208 Dhaka Politechnic,Dhaka","23.7590845,90.3996512"
Dhaka,Uttara,Uttara Model TownTSO,1230,"1230 Uttara Model TownTSO,Dhaka","23.8880746,90.3727998"
Faridpur,Alfadanga,Alfadanga,7870,"7870 Alfadanga,Faridpur","23.2897824,89.702771"
Faridpur,Bhanga,Bhanga,7830,"7830 Bhanga,Faridpur","23.3842582,89.9791663"
Faridpur,Boalmari,Boalmari,7860,"7860 Boalmari,Faridpur","23.3909677,89.68397139999999"
Faridpur,Boalmari,Rupatpat,7861,"7861 Rupatpat,Faridpur","23.3250448,89.7902369"
Faridpur,Charbhadrasan,Charbadrashan,7810,"7810 Charbadrashan,Faridpur","23.566898,89.99533699999999"
Faridpur,Faridpur Sadar,Ambikapur,7802,"7802 Ambikapur,Faridpur","23.6018691,89.8333382"
Faridpur,Faridpur Sadar,Baitulaman Politecni,7803,"7803 Baitulaman Politecni,Faridpur","23.5952937,89.86217640000001"
Faridpur,Faridpur Sadar,Faridpursadar,7800,"7800 Faridpursadar,Faridpur","23.6203524,89.81303559999999"
Faridpur,Faridpur Sadar,Kanaipur,7801,"7801 Kanaipur,Faridpur","23.5393003,89.7688141"
Faridpur,Madukhali,Kamarkali,7851,"7851 Kamarkali,Faridpur","23.5236484,89.51401969999999"
Faridpur,Madukhali,Madukhali,7850,"7850 Madukhali,Faridpur","23.5441366,89.62869549999999"
Faridpur,Nagarkanda,Nagarkanda,7840,"7840 Nagarkanda,Faridpur","23.4210186,89.89494429999999"
Faridpur,Nagarkanda,Talma,7841,"7841 Talma,Faridpur","23.4880954,89.8773281"
Faridpur,Sadarpur,Bishwa jaker Manjil,7822,"7822 Bishwa jaker Manjil,Faridpur","23.4550394,90.02248379999999"
Faridpur,Sadarpur,Hat Krishapur,7821,"7821 Hat Krishapur,Faridpur","23.508133,89.932812"
Faridpur,Sadarpur,Sadarpur,7820,"7820 Sadarpur,Faridpur","23.4657012,90.0279867"
Faridpur,Shriangan,Shriangan,7804,"7804 Shriangan,Faridpur","23.6018691,89.8333382"
Gazipur,Gazipur Sadar,B.O.F,1703,"1703 B.O.F,Gazipur","23.9999405,90.4202724"
Gazipur,Gazipur Sadar,B.R.R,1701,"1701 B.R.R,Gazipur","23.9897762,90.4061888"
Gazipur,Gazipur Sadar,Chandna,1702,"1702 Chandna,Gazipur","23.9894481,90.3816725"
Gazipur,Gazipur Sadar,Gazipur Sadar,1700,"1700 Gazipur Sadar,Gazipur","23.9999405,90.4202724"
Gazipur,Gazipur Sadar,National University,1704,"1704 National University,Gazipur","32.8294835,-117.1272528"
Gazipur,Kaliakaar,Kaliakaar,1750,"1750 Kaliakaar,Gazipur","23.9999405,90.4202724"
Gazipur,Kaliakaar,Safipur,1751,"1751 Safipur,Gazipur","24.0259382,90.273805"
Gazipur,Kaliganj,Kaliganj,1720,"1720 Kaliganj,Gazipur","23.9644781,90.5730713"
Gazipur,Kaliganj,Pubail,1721,"1721 Pubail,Gazipur","23.937641,90.47911760000001"
Gazipur,Kaliganj,Santanpara,1722,"1722 Santanpara,Gazipur","23.9999405,90.4202724"
Gazipur,Kaliganj,Vaoal Jamalpur,1723,"1723 Vaoal Jamalpur,Gazipur","24.081147,90.3978061"
Gazipur,Kapashia,kapashia,1730,"1730 kapashia,Gazipur","24.1124202,90.56656579999999"
Gazipur,Monnunagar,Ershad Nagar,1712,"1712 Ershad Nagar,Gazipur","23.9189235,90.4019162"
Gazipur,Monnunagar,Monnunagar,1710,"1710 Monnunagar,Gazipur","23.8893923,90.41954249999999"
Gazipur,Turag,Nishat Nagar,1711,"1711 Nishat Nagar,Gazipur","23.8955914,90.39356719999999"
Gazipur,Sreepur,Barmi,1743,"1743 Barmi,Gazipur","24.2293392,90.524013"
Gazipur,Sreepur,Bashamur,1747,"1747 Bashamur,Gazipur","23.9999405,90.4202724"
Gazipur,Sreepur,Boubi,1748,"1748 Boubi,Gazipur","23.9999405,90.4202724"
Gazipur,Sreepur,Kawraid,1745,"1745 Kawraid,Gazipur","24.2916562,90.5211283"
Gazipur,Sreepur,Satkhamair,1744,"1744 Satkhamair,Gazipur","24.236309,90.49019179999999"
Gazipur,Sreepur,Sreepur,1740,"1740 Sreepur,Gazipur","24.1996574,90.48090979999999"
Gazipur,Sripur,Tepirbari,1740,"1740 Tepirbari,Gazipur","24.2505439,90.41636899999999"
Gazipur,Sripur,Tengra,1740,"1740 Tengra,Gazipur","24.2324858,90.46554569999999"
Gazipur,Sripur,Rajendrapur,1741,"1741 Rajendrapur,Gazipur","24.0987182,90.4384458"
Gazipur,Sripur,Rajendrapur Canttome,1742,"1742 Rajendrapur Canttome,Gazipur","24.0987182,90.4384458"
Gopalganj,Gopalganj Sadar,Barfa,8102,"8102 Barfa,Gopalganj","23.0818242,89.71768139999999"
Gopalganj,Gopalganj Sadar,Chandradighalia,8013,"8013 Chandradighalia,Gopalganj","23.065611,89.77046639999999"
Gopalganj,Gopalganj Sadar,Gopalganj Sadar,8100,"8100 Gopalganj Sadar,Gopalganj","23.0488146,89.8879304"
Gopalganj,Gopalganj Sadar,Ulpur,8101,"8101 Ulpur,Gopalganj","23.0640212,89.8397775"
Gopalganj,Kashiani,Jonapur,8133,"8133 Jonapur,Gopalganj","28.4598526,77.1571443"
Gopalganj,Kashiani,Kashiani,8130,"8130 Kashiani,Gopalganj","23.1678457,89.7942892"
Gopalganj,Kashiani,Ramdia College,8131,"8131 Ramdia College,Gopalganj","23.1648468,89.8040593"
Gopalganj,Kashiani,Ratoil,8132,"8132 Ratoil,Gopalganj","23.1922826,89.7376657"
Gopalganj,Kotalipara,Kotalipara,8110,"8110 Kotalipara,Gopalganj","22.9892822,90.0279867"
Gopalganj,Maksudpur,Batkiamari,8141,"8141 Batkiamari,Gopalganj","23.0488146,89.8879304"
