Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Thanchi Upazila Health Complex,21.8238459,92.4386306,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Thanchi,ChIJCUsDrj2ArTAR1PeZ81A0sGQ,not found,not found
"Ruma Upazila Health Complex,Bandarban",22.0475375,92.408214,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Ruma Upazila,ChIJ8UKPLdVjrTARw3vpOR8LclA,"2CX5+27 Ruma, Bangladesh",7MJJ2CX5+27
"Rangamati, Barkal Health Complex",22.7236312,92.3848566,3.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Chotoharina - Baroharina Trail,ChIJhe1ltzWpUjcRKyiX0OcVz0I,"P9FM+FW Barkal, Bangladesh",7MJJP9FM+FW
Jurachari Upazilla Health Complex,22.6691937,92.3820563,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Juraichhari,ChIJTX6pEoqrUjcR88-VAP64NCc,not found,not found
Barkal Upazila Health Complex,22.7244254,92.3805678,2.1,9,"['hospital', 'health', 'point_of_interest', 'establishment']","Chotoharina - Baroharina Trail, Barkal",ChIJgcF7J8uuUjcRTdBtw73d9JY,"P9FJ+Q6 Barkal, Bangladesh",7MJJP9FJ+Q6
Zakiganj Upazila Government Health Complex,24.8836949,92.3644906,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Zakiganj",ChIJ46dZ-avTUTcRSFeSyz_ERUA,"V9M7+FQ Zakiganj, Bangladesh",7MPJV9M7+FQ
Rowangchhari Upazila Health Complex,22.1785989,92.3374944,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Rowangchhari,ChIJnYPKjKtnrTARCHrWJP3E97k,not found,not found
Belaichari Upazilla Health Complex,22.5001468,92.3359311,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Bilaichari,ChIJq3T2wC1RrTARXcGp4_knKd0,"G82P+39 Bilaichari, Bangladesh",7MJJG82P+39
Alikadam Health Complex,21.6522891,92.3119619,3.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Lama - Alikadam Road, Alikadam",ChIJQRLkhVeFrTARlWwm9OE_aRE,"M826+WQ Alikadam, Bangladesh",7MHJM826+WQ
"Upazila Health(Hospital) Complex,Teknaf.",20.8755415,92.2974944,4.9,8,"['hospital', 'health', 'point_of_interest', 'establishment']",Cox's Bazar - Teknaf Highway,ChIJyd70Vg8QrjARcYTVcElPcSE,"V7GW+6X Teknaf, Bangladesh",7MGJV7GW+6X
"Upazila Health Complex, Kanaighat",25.0120844,92.2557797,5,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Kanaighat,ChIJkYHbgA4xUDcRZBP03N0HcAY,"2764+R8 Kanaighat, Bangladesh",7MQJ2764+R8
"Upazila Health Complex, Rajshali, Rangamati",22.3645041,92.2509189,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Chinkyong,ChIJfQSBtyFFrTARpnMvKM_8Xr8,"9772+R9 Chinkyong, Bangladesh",7MJJ9772+R9
"Rajasthali Upazila Health Complex, Chinkhyong",22.3644043,92.2506373,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Unnamed Road, Chinkyong",ChIJ_xBIM5pFrTARKabiZngw9hI,"9772+Q7 Chinkyong, Bangladesh",7MJJ9772+Q7
Ugalchhari Health Complex,23.1389898,92.2212741,4.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Baghaichhari Upazila,ChIJGSrhXyiSUjcRNs6VmD8ZXP0,"46QC+HG Baghaichhari, Bangladesh",7MMJ46QC+HG
Upazila Health Complex Lama,21.7738592,92.1950384,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","লামা উপজেলা, Lama Bus Station",ChIJMUktCryfrTAR3CCsNmAib8M,"Q5FW+G2 Lama, Bangladesh",7MHJQ5FW+G2
Baghaichhari Upazila Health Complex,23.1635866,92.1878457,4.5,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Dighinala - Baghaichhari Road,ChIJ1bvePmOSUjcRrPJTVu9QDnQ,"557Q+C4 Baghaichhari, Bangladesh",7MMJ557Q+C4
5No Borchotul Health Complex,25.0525578,92.1875932,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Kanaighat Upazila,ChIJ150VQec3UDcRQsdwW2tE4dc,"353Q+22 Madani Nagor, Bangladesh",7MQJ353Q+22
Barlekha Upazila Health Complex,24.6937111,92.1849536,4,9,"['hospital', 'health', 'point_of_interest', 'establishment']",Barlekha,ChIJA0ocRivGUTcRd3UUOprysLo,"M5VM+FX Barlekha, Bangladesh",7MPJM5VM+FX
"Upazilla Health Complex, Naikhanchari",21.4283973,92.1741556,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Naikhongchari,ChIJi3oagu_qrTARrJ7yJC9FuvQ,"C5HF+9M Naikhongchari, Bangladesh",7MHJC5HF+9M
Beanibazar Upazila Health Complex,24.8285578,92.1625847,3.8,17,"['hospital', 'health', 'point_of_interest', 'establishment']","R281, Beanibazar",ChIJ1xW0ZGjKUTcR_m01gi0Mc6c,"R5H7+C2 Beanibazar, Bangladesh",7MPJR5H7+C2
Churkahi Up Health Complex,24.902499,92.1488207,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Churkahi,ChIJsVLFlVk1UDcRn3gceCWieC0,"W42X+XG Churkahi, Bangladesh",7MPJW42X+XG
"Upazila Health Complex, Kaptai",22.499721,92.1377387,4.3,6,"['hospital', 'health', 'point_of_interest', 'establishment']","চট্টগ্রাম - কাপ্তাই রোড, Baraichari",ChIJT1hSJgU2rTAREdMDB-rnCCA,"F4XQ+V3 Baraichari, Bangladesh",7MJJF4XQ+V3
"Upazila Health Complex, Maheshkhali, Cox's Bazar",21.2499584,92.1323704,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Ukhiya Upazila,ChIJs0oKN1_drTARTxATxDLBFmQ,"64XJ+XW Ukhia, Bangladesh",7MHJ64XJ+XW
"Upazila Health Complex, Juri",24.6074066,92.1269468,4.5,13,"['hospital', 'health', 'point_of_interest', 'establishment']","Juri, সিলেট",ChIJsU42p7W4UTcRGDa-eznDC2M,"J44G+XQ Juri, Bangladesh",7MPJJ44G+XQ
"Upazila Health Complex, Jaintapur, Sylhet",25.1361531,92.1265509,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Jaintiapur Upazila,ChIJlbVQ6HJHUDcRq0a97vsROYw,"44PG+FJ Jaintapur, Bangladesh",7MQJ44PG+FJ
Lohagara Upazila Health Complex(New Building),22.0439487,92.1110809,2.8,5,"['hospital', 'health', 'point_of_interest', 'establishment']","Bara Aulia Sadak, Lohagara",ChIJHRBO2oUSrTARgOw3fDmjels,"24V6+HC Lohagara, Bangladesh",7MJJ24V6+HC
"Upazila Health Complex, Dighinala",23.2506365,92.0665963,2,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Dighinala,ChIJ-1KkHeDzUjcRPCFCZA5R6L8,"7328+7J Dighinala, Bangladesh",7MMJ7328+7J
Syed Aminur Rahman Upazila Health Complex.,24.8408236,92.0516056,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Syed Aminur Rahman Road, Kodumrosul",ChIJbzKRdp6zUTcRl5x4uCKpXwY,"R3R2+8J Kodumrosul, Bangladesh",7MPJR3R2+8J
Rangunia Upazilla Health Complex,22.463574,92.047586,4,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Kaptai Road, Chittagong",ChIJwbNI998wrTAR-v9sEe2O5dQ,"F27X+C2 Rangunia, Bangladesh",7MJJF27X+C2
"Upazila Health Complex, Kulaura",24.5280069,92.0388054,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Kulaura,ChIJU2DVzZC9UTcRpSMMuJ0C0Tk,"G2HQ+6G Kulaura, Bangladesh",7MPJG2HQ+6G
Kawkhali Upazila Health Complex,22.63177,92.0365021,3.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Kawkhali,ChIJIw-A7-fMUjcRiUiiISU0NhU,"J2JP+PJ Kawkhali, Bangladesh",7MJJJ2JP+PJ
Mohalchari Health Complex,22.9360897,92.0339698,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Mahalchhari",ChIJM44GOKzDUjcRPaj9j3q6eME,"W2PM+CH Mahalchhari, Bangladesh",7MJJW2PM+CH
Golapganj Upazila Health Complex,24.8321998,92.0289458,4.2,11,"['hospital', 'health', 'point_of_interest', 'establishment']","Golapganj, R251, Ronokali",ChIJQUUZbq2zUTcRmQlN7fODc80,"R2JH+VH Ronokali, Bangladesh",7MPJR2JH+VH
"Upazila Health Complex, Chandanaish, Chattogram",22.2114681,92.0101031,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandanaish Upazila,ChIJj2YJ7PoXrTARA85-9LyN2Dk,"6266+H2 Harala, Bangladesh",7MJJ6266+H2
Fatehpur Health Complex,24.9986023,91.9892325,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Gowainghat Upazila,ChIJo2AFg9JPUDcR28GNDuCV27k,"XXXQ+CM Gushainpur, Bangladesh",7MPHXXXQ+CM
"Upazila health complex, Ramu, Cox's Bazar",23.1793157,91.9881527,2.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Khagrachhari Sadar Upazila,ChIJq6qqqqr6UjcRMCZ90cWLIpk,"5XHQ+P7 Khagrachhari, Bangladesh",7MMH5XHQ+P7
Gowainghat Upazila Health Complex,25.0895214,91.9798191,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Gowainghat,ChIJXXOrDq9aUDcRZokCfoRfNwU,not found,not found
Patia Upazila Health Complex,22.2994055,91.9705827,4.3,7,"['hospital', 'health', 'point_of_interest', 'establishment']",Patiya,ChIJF2IJZ0AjrTARYur_CsrPJHo,"7XXC+Q6 Patiya, Bangladesh",7MJH7XXC+Q6
Banskhali Upazila Hospital,22.0017357,91.9503596,4.6,8,"['hospital', 'health', 'point_of_interest', 'establishment']",Banshkhali Upazila,ChIJQftrGx0FrTARU5zbBcxQvUI,"2X22+M4 Jaldi, Bangladesh",7MJH2X22+M4
No. 2 West Jaflong Health Complex,25.1424429,91.9470675,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Gowainghat Upazila,ChIJW-zVtqdbUDcRjsYlVGX6Epg,"4WRW+XR Dakshin Pratappur, Bangladesh",7MQH4WRW+XR
