Name,Upazila,District,Division
Upazila Health Complex,Chitalmari,Bagerhat,Khulna
Upazila Health Complex,Fakirhat,Bagerhat,Khulna
Upazila Health Complex,Kachua,Bagerhat,Khulna
Upazila Health Complex,Mollahat,Bagerhat,Khulna
Upazila Health Complex,Mongla,Bagerhat,Khulna
Upazila Health Complex,Morrelganj,Bagerhat,Khulna
Upazila Health Complex,Rampal,Bagerhat,Khulna
Upazila Health Complex,Sarankhola,Bagerhat,Khulna
Upazila Health Complex,Alikadam,Bandarban,Chittagong
Upazila Health Complex,Lama,Bandarban,Chittagong
Upazila Health Complex,Naikhongchhari,Bandarban,Chittagong
Upazila Health Complex,Rowangchhari,Bandarban,Chittagong
Upazila Health Complex,Ruma,Bandarban,Chittagong
Upazila Health Complex,Thanchi,Bandarban,Chittagong
Upazila Health Complex,Amtali,Barguna,Barisal
Upazila Health Complex,Bamna,Barguna,Barisal
Upazila Health Complex,Betagi,Barguna,Barisal
Upazila Health Complex,Patharghata,Barguna,Barisal
Upazila Health Complex,Agailjhara,Barisal,Barisal
Upazila Health Complex,Babuganj,Barisal,Barisal
Upazila Health Complex,Bakerganj,Barisal,Barisal
Upazila Health Complex,Banaripara,Barisal,Barisal
Upazila Health Complex,Gaurnadi,Barisal,Barisal
Upazila Health Complex,Hizla,Barisal,Barisal
Upazila Health Complex,Mehendiganj,Barisal,Barisal
Upazila Health Complex,Muladi,Barisal,Barisal
Upazila Health Complex,Wazirpur,Barisal,Barisal
Upazila Health Complex,Burhanuddin,Bhola,Barisal
Upazila Health Complex,Charfasson,Bhola,Barisal
Upazila Health Complex,Daulatkhan,Bhola,Barisal
Upazila Health Complex,Lalmohan,Bhola,Barisal
Upazila Health Complex,Manpura,Bhola,Barisal
Upazila Health Complex,Tazumuddin,Bhola,Barisal
Upazila Health Complex,Adamdighi,Bogra,Rajshahi
Upazila Health Complex,Dhunat,Bogra,Rajshahi
Upazila Health Complex,Dhupchanchia,Bogra,Rajshahi
Upazila Health Complex,Gabtali,Bogra,Rajshahi
Upazila Health Complex,Kahaloo,Bogra,Rajshahi
Upazila Health Complex,Nandigram,Bogra,Rajshahi
Upazila Health Complex,Sariakandi,Bogra,Rajshahi
Upazila Health Complex,Shajahanpur(Majhira),Bogra,Rajshahi
Upazila Health Complex,Sherpur,Bogra,Rajshahi
Upazila Health Complex,Shibganj,Bogra,Rajshahi
Upazila Health Complex,Sonatola,Bogra,Rajshahi
Upazila Health Complex,Akhaura,Brahmanbaria,Chittagong
Upazila Health Complex,Ashuganj,Brahmanbaria,Chittagong
Upazila Health Complex,Banchharampur,Brahmanbaria,Chittagong
Upazila Health Complex,Kasba,Brahmanbaria,Chittagong
Upazila Health Complex,Nabinagar,Brahmanbaria,Chittagong
Upazila Health Complex,Nasirnagar,Brahmanbaria,Chittagong
Upazila Health Complex,Sarail,Brahmanbaria,Chittagong
Upazila Health Complex,Faridganj,Chandpur,Chittagong
Upazila Health Complex,Haim Char,Chandpur,Chittagong
Upazila Health Complex,Hajiganj,Chandpur,Chittagong
Upazila Health Complex,Kachua,Chandpur,Chittagong
Upazila Health Complex,Matlab North,Chandpur,Chittagong
Upazila Health Complex,Matlab South,Chandpur,Chittagong
Upazila Health Complex,Shahrasti,Chandpur,Chittagong
Upazila Health Complex,Bholahat,Chapai Nawabganj,Rajshahi
Upazila Health Complex,Gomastapur,Chapai Nawabganj,Rajshahi
Upazila Health Complex,Nachole,Chapai Nawabganj,Rajshahi
Upazila Health Complex,Shibganj,Chapai Nawabganj,Rajshahi
Upazila Health Complex,Anowara,Chittagong,Chittagong
Upazila Health Complex,Banshkhali,Chittagong,Chittagong
Upazila Health Complex,Boalkhali,Chittagong,Chittagong
Upazila Health Complex,Chandanaish,Chittagong,Chittagong
Upazila Health Complex,Fatikchhari,Chittagong,Chittagong
Upazila Health Complex,Hathazari,Chittagong,Chittagong
Upazila Health Complex,Lohagara,Chittagong,Chittagong
Upazila Health Complex,Mirsharai,Chittagong,Chittagong
Upazila Health Complex,Patiya,Chittagong,Chittagong
Upazila Health Complex,Rangunia,Chittagong,Chittagong
Upazila Health Complex,Raozan,Chittagong,Chittagong
Upazila Health Complex,Sandwip,Chittagong,Chittagong
Upazila Health Complex,Satkania,Chittagong,Chittagong
Upazila Health Complex,Sitakunda,Chittagong,Chittagong
Upazila Health Complex,Alamdanga,Chuadanga,Khulna
Upazila Health Complex,Damurhuda,Chuadanga,Khulna
Upazila Health Complex,Jiban Nagar,Chuadanga,Khulna
Upazila Health Complex,Barura,Comilla,Chittagong
Upazila Health Complex,Brahmanpara,Comilla,Chittagong
Upazila Health Complex,Burichang,Comilla,Chittagong
Upazila Health Complex,Chandina,Comilla,Chittagong
Upazila Health Complex,Chauddagram,Comilla,Chittagong
Upazila Health Complex,Daudkandi,Comilla,Chittagong
Upazila Health Complex,Debidwar,Comilla,Chittagong
Upazila Health Complex,Homna,Comilla,Chittagong
Upazila Health Complex,Laksam,Comilla,Chittagong
Upazila Health Complex,Meghna,Comilla,Chittagong
Upazila Health Complex,Monoharganj,Comilla,Chittagong
Upazila Health Complex,Muradnagar,Comilla,Chittagong
Upazila Health Complex,Nangalkot,Comilla,Chittagong
Upazila Health Complex,Sadar South,Comilla,Chittagong
Upazila Health Complex,Titas,Comilla,Chittagong
Upazila Health Complex,Chakaria,CoxsBazar,Chittagong
Upazila Health Complex,Kutubdia,CoxsBazar,Chittagong
Upazila Health Complex,Maheshkhali,CoxsBazar,Chittagong
Upazila Health Complex,Pekua,CoxsBazar,Chittagong
Upazila Health Complex,Ramu,CoxsBazar,Chittagong
Upazila Health Complex,Teknaf,CoxsBazar,Chittagong
Upazila Health Complex,Ukhia,CoxsBazar,Chittagong
Upazila Health Complex,Dhamrai,Dhaka,Dhaka
Upazila Health Complex,Dohar,Dhaka,Dhaka
Upazila Health Complex,Keraniganj,Dhaka,Dhaka
Upazila Health Complex,Nawabganj,Dhaka,Dhaka
Upazila Health Complex,Savar,Dhaka,Dhaka
Upazila Health Complex,Biral,Dinajpur,Rangpur
Upazila Health Complex,Birampur,Dinajpur,Rangpur
Upazila Health Complex,Birganj,Dinajpur,Rangpur
Upazila Health Complex,Bochaganj,Dinajpur,Rangpur
Upazila Health Complex,Chirirbandar,Dinajpur,Rangpur
Upazila Health Complex,Ghoraghat,Dinajpur,Rangpur
Upazila Health Complex,Hakimpur,Dinajpur,Rangpur
Upazila Health Complex,Kaharole,Dinajpur,Rangpur
Upazila Health Complex,Khansama,Dinajpur,Rangpur
Upazila Health Complex,Nawabganj,Dinajpur,Rangpur
Upazila Health Complex,Parbatipur,Dinajpur,Rangpur
Upazila Health Complex,Phulbari,Dinajpur,Rangpur
