Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
North Gopalpur Hospital,22.6311853,89.8869161,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kachua Upazila,ChIJcbD_SH34_zkRT9V2sVBZXYo,"JVJP+FQ Kachua, Bangladesh",7MJFJVJP+FQ
Seba clinic,22.6602436,89.7895478,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Lake Road, Nagerbazar Road, বাগেরহাট",ChIJ_4GEFIr3_zkRg5rJQkCmwGI,"MQ6Q+3R Bagerhat, Bangladesh",7MJFMQ6Q+3R
মেসার্স মেঘনা ফার্মেসি এন্ড মেডিকেল সেন্টার,22.6586943,89.7901171,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bagerhat,ChIJbYjszxb3_zkRgHN8BT9Z5IE,"MQ5R+F2 Bagerhat, Bangladesh",7MJFMQ5R+F2
Maternity Hospital,22.657828,89.792106,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Alia Madrasa Road, Bagerhat",ChIJhXShrWf2_zkRYIJL-j8Uvzw,"MQ5R+4R Bagerhat, Bangladesh",7MJFMQ5R+4R
"Mother and Child Hospital, Bagerhat",22.6577794,89.7921985,3,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Alia Madrasa Road, Bagerhat",ChIJN5zvrWf2_zkR-RZRJSxeuOc,"MQ5R+4V Bagerhat, Bangladesh",7MJFMQ5R+4V
"SUFIA MEMORIAL MAA -SHISU & GENERAL HOSPITAL, Bagerhat",22.6642377,89.7886667,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","College Road, Bagerhat",ChIJ_9JTUnD3_zkRdhSjlKmYntI,"MQ7Q+MF Bagerhat, Bangladesh",7MJFMQ7Q+MF
Civil Searjon Office,22.6619182,89.7937532,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Bagerhat,ChIJbZM9rmD2_zkRVF8gXkNHOnY,"MQ6V+QG Bagerhat, Bangladesh",7MJFMQ6V+QG
Bagerhatd x-ray &digital diagnostic center near Bagerhat,22.6639188,89.7929721,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Main Road, Bagerhat",ChIJgfzXawD3_zkRvOGSP2VfXm8,"MQ7V+H5 Bagerhat, Bangladesh",7MJFMQ7V+H5
"সূর্যের হাসি ক্লিনিক,বাগেরহাট",22.6641572,89.7928021,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Main Road, Bagerhat",ChIJ_ff6m0b3_zkRXOcBmP7XRLs,"MQ7V+M4 Bagerhat, Bangladesh",7MJFMQ7V+M4
woodland Diagnostic Center,22.664205,89.7928233,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Bagerhat,ChIJL4GC9mD2_zkRRtGyq4Fp8oU,"MQ7V+M4 Bagerhat, Bangladesh",7MJFMQ7V+M4
"Janoni Diagnostic centr, Main Road, Bagerha.",22.6611752,89.795031,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Post Office Road, Bagerhat",ChIJa_jwb6H3_zkRRcy--ROM5eE,"MQ6W+F2 Bagerhat, Bangladesh",7MJFMQ6W+F2
Diabetic Hospital,22.6583744,89.7948677,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Khanjahan Ali Raod, Bagerhat",ChIJa0h5gF32_zkRWmJ-VjB-3-c,"MQ5V+8W Bagerhat, Bangladesh",7MJFMQ5V+8W
Bagerhat Diabetis Samiti,22.6584007,89.7953954,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Khanjahan Ali Raod, Bagerhat",ChIJCYdBdV32_zkRv7-QsdfPq-A,"MQ5W+95 Bagerhat, Bangladesh",7MJFMQ5W+95
Surjer Hashi Clinic,22.6606921,89.7961977,5,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Bagerhat,ChIJLz0rzl32_zkRoYcnIVurCpc,"MQ6W+7F Bagerhat, Bangladesh",7MJFMQ6W+7F
Kazi Clinic,22.666696,89.7906512,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Bagerhat,ChIJ96TR52H2_zkRIz_JZmxgLIk,"MQ8R+M7 Bagerhat, Bangladesh",7MJFMQ8R+M7
কাজী ক্লিনিক,22.6667861,89.7909037,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",মুনিগঞ্জ,ChIJY9D2tWH3_zkRBmhOW-X3uds,"MQ8R+P9 Bagerhat, Bangladesh",7MJFMQ8R+P9
