District,Thana,SubOffice,Post Code
Bagerhat,Bagerhat Sadar,Bagerhat Sadar,9300
Bagerhat,Bagerhat Sadar,P.C College,9301
Bagerhat,Bagerhat Sadar,Rangdia,9302
Bagerhat,Chalna Ankorage,Chalna Ankorage,9350
Bagerhat,Chalna Ankorage,Mongla Port,9351
Bagerhat,Chitalmari,Barabaria,9361
Bagerhat,Chitalmari,Chitalmari,9360
Bagerhat,Fakirhat,Bhanganpar Bazar,9372
Bagerhat,Fakirhat,Fakirhat,9370
Bagerhat,Fakirhat,Mansa,9371
Bagerhat,Kachua UPO,Kachua,9310
Bagerhat,Kachua UPO,Sonarkola,9311
Bagerhat,Mollahat,Charkulia,9383
Bagerhat,Mollahat,Dariala,9382
Bagerhat,Mollahat,Kahalpur,9381
Bagerhat,Mollahat,Mollahat,9380
Bagerhat,Mollahat,Nagarkandi,9384
Bagerhat,Mollahat,Pak Gangni,9385
Bagerhat,Morelganj,Morelganj,9320
Bagerhat,Morelganj,Sannasi Bazar,9321
Bagerhat,Morelganj,Teligatee,9322
Bagerhat,Rampal,Foylahat,9341
Bagerhat,Rampal,Gourambha,9343
Bagerhat,Rampal,Rampal,9340
Bagerhat,Rampal,Sonatunia,9342
Bagerhat,Rayenda,Rayenda,9330
Chuadanga,Alamdanga,Alamdanga,7210
Chuadanga,Alamdanga,Hardi,7211
Chuadanga,Chuadanga Sadar,Chuadanga Sadar,7200
Chuadanga,Chuadanga Sadar,Munshiganj,7201
Chuadanga,Damurhuda,Andulbaria,7222
Chuadanga,Damurhuda,Damurhuda,7220
Chuadanga,Damurhuda,Darshana,7221
Chuadanga,Doulatganj,Doulatganj,7230
Jashore,Bagharpara,Bagharpara,7470
Jashore,Bagharpara,Gouranagar,7471
Jashore,Chaugachha,Chougachha,7410
Jashore,Jashore Sadar,Basundia,7406
Jashore,Jashore Sadar,Chanchra,7402
Jashore,Jashore Sadar,Churamankathi,7407
Jashore,Jashore Sadar,Jashore Airbach,7404
Jashore,Jashore Sadar,Jashore canttonment,7403
