District,Thana,SubOffice,Post Code,location,coordinate
Bagerhat,Bagerhat Sadar,Bagerhat Sadar,9300,"9300 Bagerhat Sadar,Bagerhat","22.6602436,89.7895478"
Bagerhat,Bagerhat Sadar,P.C College,9301,"9301 P.C College,Bagerhat","22.6651507,89.7838616"
Bagerhat,Bagerhat Sadar,Rangdia,9302,"9302 Rangdia,Bagerhat","22.7215486,89.749378"
Bagerhat,Chalna Ankorage,Chalna Ankorage,9350,"9350 Chalna Ankorage,Bagerhat","22.6071796,89.5025641"
Bagerhat,Chalna Ankorage,Mongla Port,9351,"9351 Mongla Port,Bagerhat","22.4942196,89.6016171"
Bagerhat,Chitalmari,Barabaria,9361,"9361 Barabaria,Bagerhat","22.85,89.86"
Bagerhat,Chitalmari,Chitalmari,9360,"9360 Chitalmari,Bagerhat","22.7866641,89.8692203"
Bagerhat,Fakirhat,Bhanganpar Bazar,9372,"9372 Bhanganpar Bazar,Bagerhat","22.6723353,89.62040309999999"
Bagerhat,Fakirhat,Fakirhat,9370,"9370 Fakirhat,Bagerhat","22.777513,89.7074695"
Bagerhat,Fakirhat,Mansa,9371,"9371 Mansa,Bagerhat","22.6602436,89.7895478"
Bagerhat,Kachua UPO,Kachua,9310,"9310 Kachua,Bagerhat","22.6555755,89.87857650000001"
Bagerhat,Kachua UPO,Sonarkola,9311,"9311 Sonarkola,Bagerhat","22.6602436,89.7895478"
Bagerhat,Mollahat,Charkulia,9383,"9383 Charkulia,Bagerhat","22.9004879,89.769403"
Bagerhat,Mollahat,Dariala,9382,"9382 Dariala,Bagerhat","22.9043877,89.75484499999999"
Bagerhat,Mollahat,Kahalpur,9381,"9381 Kahalpur,Bagerhat","22.8997961,89.7989767"
Bagerhat,Mollahat,Mollahat,9380,"9380 Mollahat,Bagerhat","22.9266143,89.80600679999999"
Bagerhat,Mollahat,Nagarkandi,9384,"9384 Nagarkandi,Bagerhat","22.8966028,89.72980199999999"
Bagerhat,Mollahat,Pak Gangni,9385,"9385 Pak Gangni,Bagerhat","22.866667,89.733333"
Bagerhat,Morelganj,Morelganj,9320,"9320 Morelganj,Bagerhat","22.4499409,89.85284159999999"
Bagerhat,Morelganj,Sannasi Bazar,9321,"9321 Sannasi Bazar,Bagerhat","22.3945281,89.8636204"
Bagerhat,Morelganj,Teligatee,9322,"9322 Teligatee,Bagerhat","22.6602436,89.7895478"
Bagerhat,Rampal,Foylahat,9341,"9341 Foylahat,Bagerhat","22.637295,89.6424907"
Bagerhat,Rampal,Gourambha,9343,"9343 Gourambha,Bagerhat","22.6550699,89.5771219"
Bagerhat,Rampal,Rampal,9340,"9340 Rampal,Bagerhat","22.583775,89.6722171"
Bagerhat,Rampal,Sonatunia,9342,"9342 Sonatunia,Bagerhat","22.6746031,89.64752159999999"
Bagerhat,Rayenda,Rayenda,9330,"9330 Rayenda,Bagerhat","22.3143368,89.8516714"
Chuadanga,Alamdanga,Alamdanga,7210,"7210 Alamdanga,Chuadanga","23.7626671,88.94378069999999"
Chuadanga,Alamdanga,Hardi,7211,"7211 Hardi,Chuadanga","23.7883251,88.9044464"
Chuadanga,Chuadanga Sadar,Chuadanga Sadar,7200,"7200 Chuadanga Sadar,Chuadanga","23.6160512,88.8263006"
Chuadanga,Chuadanga Sadar,Munshiganj,7201,"7201 Munshiganj,Chuadanga","23.7176619,88.88867839999999"
Chuadanga,Damurhuda,Andulbaria,7222,"7222 Andulbaria,Chuadanga","23.4791962,88.8948083"
Chuadanga,Damurhuda,Damurhuda,7220,"7220 Damurhuda,Chuadanga","23.602312,88.777793"
Chuadanga,Damurhuda,Darshana,7221,"7221 Darshana,Chuadanga","23.5146987,88.8022842"
Chuadanga,Doulatganj,Doulatganj,7230,"7230 Doulatganj,Chuadanga","23.6417895,88.8577016"
Jashore,Bagharpara,Bagharpara,7470,"7470 Bagharpara,Jashore","23.2172608,89.3487791"
Jashore,Bagharpara,Gouranagar,7471,"7471 Gouranagar,Jashore","23.1634014,89.2181664"
Jashore,Chaugachha,Chougachha,7410,"7410 Chougachha,Jashore","23.264783,89.018357"
Jashore,Jashore Sadar,Basundia,7406,"7406 Basundia,Jashore","23.1362774,89.3692248"
Jashore,Jashore Sadar,Chanchra,7402,"7402 Chanchra,Jashore","23.1417141,89.1867576"
Jashore,Jashore Sadar,Churamankathi,7407,"7407 Churamankathi,Jashore","23.2363301,89.10104609999999"
Jashore,Jashore Sadar,Jashore Airbach,7404,"7404 Jashore Airbach,Jashore","23.1777682,89.1801225"
Jashore,Jashore Sadar,Jashore canttonment,7403,"7403 Jashore canttonment,Jashore","23.1714224,89.18940789999999"
Jashore,Jashore Sadar,Jashore Sadar,7400,"7400 Jashore Sadar,Jashore","23.1660967,89.2277026"
Jashore,Jashore Sadar,Jashore Upa-Shahar,7401,"7401 Jashore Upa-Shahar,Jashore","23.1826993,89.2084227"
Jashore,Jashore Sadar,Rupdia,7405,"7405 Rupdia,Jashore","23.1291897,89.2954079"
Jashore,Jhikargachha,Jhikargachha,7420,"7420 Jhikargachha,Jashore","23.0999066,89.0991083"
Jashore,Keshabpur,Keshobpur,7450,"7450 Keshobpur,Jashore","22.905463,89.2193801"
Jashore,Monirampur,Monirampur,7440,"7440 Monirampur,Jashore","23.0268917,89.23261459999999"
Jashore,Noapara,Bhugilhat,7462,"7462 Bhugilhat,Jashore","23.1634014,89.2181664"
Jashore,Noapara,Noapara,7460,"7460 Noapara,Jashore","23.0188528,89.4005363"
Jashore,Noapara,Rajghat,7461,"7461 Rajghat,Jashore","22.9941595,89.412731"
Jashore,Sarsa,Bag Achra,7433,"7433 Bag Achra,Jashore","22.9561427,88.96532260000001"
Jashore,Sarsa,Benapole,7431,"7431 Benapole,Jashore","23.0390821,88.8982666"
Jashore,Sarsa,Jadabpur,7432,"7432 Jadabpur,Jashore","23.3016896,89.2526599"
Jashore,Sarsa,Sarsa,7430,"7430 Sarsa,Jashore","22.8117313,89.1475107"
Jhenaidah,Harinakundu,Harinakundu,7310,"7310 Harinakundu,Jhenaidah","23.6062797,89.0723417"
Jhenaidah,Jhenaidah Sadar,Jhenaidah Cadet College,7301,"7301 Jhenaidah Cadet College,Jhenaidah","23.5528198,89.1753614"
Jhenaidah,Jhenaidah Sadar,Jhenaidah Sadar,7300,"7300 Jhenaidah Sadar,Jhenaidah","23.499124,89.1515476"
Jhenaidah,Kotchandpur,Kotchandpur,7330,"7330 Kotchandpur,Jhenaidah","23.4075287,89.0119581"
Jhenaidah,Maheshpur,Maheshpur,7340,"7340 Maheshpur,Jhenaidah","23.3607692,88.9174366"
Jhenaidah,Naldanga,Hatbar Bazar,7351,"7351 Hatbar Bazar,Jhenaidah","23.4017304,89.1365101"
Jhenaidah,Naldanga,Naldanga,7350,"7350 Naldanga,Jhenaidah","23.4411816,89.1694093"
Jhenaidah,Shailakupa,Kumiradaha,7321,"7321 Kumiradaha,Jhenaidah","23.6055784,89.3167649"
Jhenaidah,Shailakupa,Shailakupa,7320,"7320 Shailakupa,Jhenaidah","23.6840828,89.2419658"
Khulna,Alaipur,Alaipur,9240,"9240 Alaipur,Khulna","22.8060091,89.48780289999999"
Khulna,Alaipur,Belphulia,9242,"9242 Belphulia,Khulna","22.845641,89.5403279"
Khulna,Alaipur,Rupsha,9241,"9241 Rupsha,Khulna","22.8044775,89.58054709999999"
Khulna,Batiaghat,Batiaghat,9260,"9260 Batiaghat,Khulna","22.7263608,89.5025641"
Khulna,Batiaghat,Surkalee,9261,"9261 Surkalee,Khulna","22.845641,89.5403279"
Khulna,Chalna Bazar,Bajua,9272,"9272 Bajua,Khulna","22.553669,89.5450458"
Khulna,Chalna Bazar,Chalna Bazar,9270,"9270 Chalna Bazar,Khulna","22.845641,89.5403279"
Khulna,Chalna Bazar,Dakup,9271,"9271 Dakup,Khulna","22.845641,89.5403279"
Khulna,Chalna Bazar,Nalian,9273,"9273 Nalian,Khulna","22.4375171,89.4467378"
Khulna,Digalia,Chandni Mahal,9221,"9221 Chandni Mahal,Khulna","22.845641,89.5403279"
Khulna,Digalia,Digalia,9220,"9220 Digalia,Khulna","22.8915153,89.53502879999999"
Khulna,Digalia,Gazirhat,9224,"9224 Gazirhat,Khulna","22.9589527,89.582769"
Khulna,Digalia,Ghoshghati,9223,"9223 Ghoshghati,Khulna","22.845641,89.5403279"
Khulna,Digalia,Senhati,9222,"9222 Senhati,Khulna","22.8713069,89.5419592"
Khulna,Khulna Sadar,Atra Shilpa Area,9207,"9207 Atra Shilpa Area,Khulna","22.9434323,89.4856968"
Khulna,Khulna Sadar,BIT Khulna,9203,"9203 BIT Khulna,Khulna","22.9005524,89.50235649999999"
Khulna,Khulna Sadar,Doulatpur,9202,"9202 Doulatpur,Khulna","22.8634453,89.5167298"
Khulna,Khulna Sadar,Jahanabad Canttonmen,9205,"9205 Jahanabad Canttonmen,Khulna","22.9211049,89.50184940000001"
Khulna,Khulna Sadar,Khula Sadar,9100,"9100 Khula Sadar,Khulna","22.845641,89.5403279"
Khulna,Khulna Sadar,Khulna G.P.O,9000,"9000 Khulna G.P.O,Khulna","22.840308,89.5390261"
Khulna,Khulna Sadar,Khulna Shipyard,9201,"9201 Khulna Shipyard,Khulna","22.7885144,89.5810929"
Khulna,Khulna Sadar,Khulna University,9208,"9208 Khulna University,Khulna","22.8022039,89.5339231"
Khulna,Khulna Sadar,Siramani,9204,"9204 Siramani,Khulna","22.9140052,89.4907556"
Khulna,Khulna Sadar,Sonali Jute Mills,9206,"9206 Sonali Jute Mills,Khulna","22.9044402,89.51315840000001"
Khulna,Koyra,Amadee,9291,"9291 Amadee,Khulna","22.845641,89.5403279"
Khulna,Koyra,Koyra,9290,"9290 Koyra,Khulna","22.3515842,89.2859122"
Khulna,Paikgachha,Chandkhali,9284,"9284 Chandkhali,Khulna","22.5348064,89.275227"
Khulna,Paikgachha,Garaikhali,9285,"9285 Garaikhali,Khulna","22.7327053,89.6486979"
Khulna,Paikgachha,Godaipur,9281,"9281 Godaipur,Khulna","22.6258067,89.30252809999999"
Khulna,Paikgachha,Kapilmoni,9282,"9282 Kapilmoni,Khulna","22.6884065,89.30964709999999"
Khulna,Paikgachha,Katipara,9283,"9283 Katipara,Khulna","22.642261,89.2554267"
Khulna,Paikgachha,Paikgachha,9280,"9280 Paikgachha,Khulna","22.5930919,89.3167649"
Khulna,Phultala,Phultala,9210,"9210 Phultala,Khulna","22.9704664,89.45058019999999"
Khulna,Sajiara,Chuknagar,9252,"9252 Chuknagar,Khulna","22.8372928,89.2930342"
Khulna,Sajiara,Ghonabanda,9251,"9251 Ghonabanda,Khulna","22.845641,89.5403279"
Khulna,Sajiara,Sajiara,9250,"9250 Sajiara,Khulna","22.8303888,89.4292945"
Khulna,Sajiara,Shahapur,9253,"9253 Shahapur,Khulna","22.8664192,89.40474259999999"
Khulna,Terakhada,Pak Barasat,9231,"9231 Pak Barasat,Khulna","22.923346,89.6392863"
Khulna,Terakhada,Terakhada,9230,"9230 Terakhada,Khulna","22.9353223,89.6675144"
Kushtia,Bheramara,Allardarga,7042,"7042 Allardarga,Kushtia","24.0315403,88.9066546"
Kushtia,Bheramara,Bheramara,7040,"7040 Bheramara,Kushtia","24.020975,88.99223409999999"
Kushtia,Bheramara,Ganges Bheramara,7041,"7041 Ganges Bheramara,Kushtia","24.020975,88.99223409999999"
Kushtia,Janipur,Janipur,7020,"7020 Janipur,Kushtia","23.7914913,89.3084607"
Kushtia,Janipur,Khoksa,7021,"7021 Khoksa,Kushtia","23.8033041,89.2894733"
Kushtia,Kumarkhali,Kumarkhali,7010,"7010 Kumarkhali,Kushtia","23.8595814,89.239589"
Kushtia,Kumarkhali,Panti,7011,"7011 Panti,Kushtia","23.7702039,89.21105589999999"
Kushtia,Kushtia Sadar,Islami University,7003,"7003 Islami University,Kushtia","23.7237112,89.1511362"
Kushtia,Kushtia Sadar,Jagati,7002,"7002 Jagati,Kushtia","23.8911357,89.1076135"
Kushtia,Kushtia Sadar,Kushtia Mohini,7001,"7001 Kushtia Mohini,Kushtia","23.9004692,89.14690159999999"
Kushtia,Kushtia Sadar,Kushtia Sadar,7000,"7000 Kushtia Sadar,Kushtia","23.9086315,89.1284215"
Kushtia,Mirpur,Amla Sadarpur,7032,"7032 Amla Sadarpur,Kushtia","23.906088,88.92952269999999"
Kushtia,Mirpur,Mirpur,7030,"7030 Mirpur,Kushtia","23.9414957,89.0012007"
Kushtia,Mirpur,Poradaha,7031,"7031 Poradaha,Kushtia","23.8684026,89.0313491"
Kushtia,Rafayetpur,Khasmathurapur,7052,"7052 Khasmathurapur,Kushtia","24.0297117,88.8112076"
Kushtia,Rafayetpur,Rafayetpur,7050,"7050 Rafayetpur,Kushtia","23.9958634,88.8880379"
Kushtia,Rafayetpur,Taragunia,7051,"7051 Taragunia,Kushtia","24.0396741,88.8560529"
Magura,Arpara,Arpara,7620,"7620 Arpara,Magura","23.3752926,89.37291900000001"
Magura,Magura Sadar,Magura Sadar,7600,"7600 Magura Sadar,Magura","23.485581,89.4190545"
Magura,Mohammadpur,Binodpur,7631,"7631 Binodpur,Magura","23.4381,89.504"
Magura,Mohammadpur,Mohammadpur,7630,"7630 Mohammadpur,Magura","23.3996622,89.582769"
Magura,Mohammadpur,Nahata,7632,"7632 Nahata,Magura","23.3220861,89.5214505"
Magura,Shripur,Langalbadh,7611,"7611 Langalbadh,Magura","23.4854655,89.41983049999999"
Magura,Shripur,Nachol,7612,"7612 Nachol,Magura","24.7326602,88.4137279"
Magura,Shripur,Shripur,7610,"7610 Shripur,Magura","23.4854655,89.41983049999999"
Meherpur,Gangni,Gangni,7110,"7110 Gangni,Meherpur","23.8206519,88.74218309999999"
Meherpur,Meherpur Sadar,Amjhupi,7101,"7101 Amjhupi,Meherpur","23.7573632,88.6998603"
Meherpur,Meherpur Sadar,Amjhupi,7152,"7152 Amjhupi,Meherpur","23.751784,88.68681389999999"
Meherpur,Meherpur Sadar,Meherpur Sadar,7100,"7100 Meherpur Sadar,Meherpur","23.7694699,88.63581909999999"
Meherpur,Meherpur Sadar,Mujib Nagar Complex,7102,"7102 Mujib Nagar Complex,Meherpur","23.646846,88.5927608"
Narail,Kalia,Kalia,7520,"7520 Kalia,Narail","23.0305533,89.62987240000001"
Narail,Laxmipasha,Baradia,7514,"7514 Baradia,Narail","23.0932231,89.6886722"
Narail,Laxmipasha,Itna,7512,"7512 Itna,Narail","23.1588903,89.7039283"
Narail,Laxmipasha,Laxmipasha,7510,"7510 Laxmipasha,Narail","23.1809926,89.6498742"
Narail,Laxmipasha,Lohagora,7511,"7511 Lohagora,Narail","23.1824841,89.6510504"
Narail,Laxmipasha,Naldi,7513,"7513 Naldi,Narail","23.182484,89.65105"
Narail,Mohajan,Mohajan,7521,"7521 Mohajan,Narail","23.1656982,89.4990219"
Narail,Narail Sadar,Narail Sadar,7500,"7500 Narail Sadar,Narail","23.1656982,89.4990219"
Narail,Narail Sadar,Ratanganj,7501,"7501 Ratanganj,Narail","23.1645157,89.5003732"
Satkhira,Ashashuni,Ashashuni,9460,"9460 Ashashuni,Satkhira","22.5282208,89.1467832"
Satkhira,Ashashuni,Baradal,9461,"9461 Baradal,Satkhira","22.5107934,89.237212"
Satkhira,Debbhata,Debbhata,9430,"9430 Debbhata,Satkhira","22.5809462,88.9892448"
Satkhira,Debbhata,Gurugram,9431,"9431 Gurugram,Satkhira","22.6488758,88.9896038"
Satkhira,kalaroa,Chandanpur,9415,"9415 Chandanpur,Satkhira","22.9067341,88.9322442"
Satkhira,kalaroa,Hamidpur,9413,"9413 Hamidpur,Satkhira","22.8730639,89.0570024"
Satkhira,kalaroa,Jhaudanga,9412,"9412 Jhaudanga,Satkhira","22.8061914,89.0406306"
Satkhira,kalaroa,kalaroa,9410,"9410 kalaroa,Satkhira","22.8583135,89.03943629999999"
Satkhira,kalaroa,Khordo,9414,"9414 Khordo,Satkhira","22.923661,89.0923206"
Satkhira,kalaroa,Murarikati,9410,"9410 Murarikati,Satkhira","22.846512,89.0585408"
Satkhira,Kaliganj UPO,Kaliganj UPO,9440,"9440 Kaliganj UPO,Satkhira","22.4530972,89.0346588"
Satkhira,Kaliganj UPO,Nalta Mubaroknagar,9441,"9441 Nalta Mubaroknagar,Satkhira","22.5276336,89.0418249"
Satkhira,Kaliganj UPO,Ratanpur,9442,"9442 Ratanpur,Satkhira","22.3486701,89.01315319999999"
Satkhira,Nakipur,Buri Goalini,9453,"9453 Buri Goalini,Satkhira","22.2723871,89.237212"
Satkhira,Nakipur,Gabura,9454,"9454 Gabura,Satkhira","22.2487174,89.275227"
Satkhira,Nakipur,Habinagar,9455,"9455 Habinagar,Satkhira","22.7578933,90.4089838"
Satkhira,Nakipur,Nakipur,9450,"9450 Nakipur,Satkhira","28.5726255,75.7386027"
Satkhira,Nakipur,Naobeki,9452,"9452 Naobeki,Satkhira","22.7184852,89.07047659999999"
Satkhira,Nakipur,Noornagar,9451,"9451 Noornagar,Satkhira","22.7184852,89.07047659999999"
Satkhira,Satkhira Sadar,Budhhat,9403,"9403 Budhhat,Satkhira","22.6194183,89.1466713"
Satkhira,Satkhira Sadar,Gunakar kati,9402,"9402 Gunakar kati,Satkhira","22.7184852,89.07047659999999"
Satkhira,Satkhira Sadar,Satkhira Islamia Acc,9401,"9401 Satkhira Islamia Acc,Satkhira","22.7184852,89.07047659999999"
Satkhira,Satkhira Sadar,Satkhira Sadar,9400,"9400 Satkhira Sadar,Satkhira","22.7128088,89.07077620000001"
Satkhira,Taala,Patkelghata,9421,"9421 Patkelghata,Satkhira","22.7651666,89.1622656"
Satkhira,Taala,Taala,9420,"9420 Taala,Satkhira","22.7184852,89.07047659999999"
