-1,Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
0,Thanchi Upazila Health Complex,21.8238459,92.4386306,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Thanchi,ChIJCUsDrj2ArTAR1PeZ81A0sGQ,not found,not found
1,"Ruma Upazila Health Complex,Bandarban",22.0475375,92.408214,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Ruma Upazila,ChIJ8UKPLdVjrTARw3vpOR8LclA,"2CX5+27 Ruma, Bangladesh",7MJJ2CX5+27
2,Upazila Hospital,22.0481227,92.4080238,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Ruma Bazar, Ruma",ChIJXTiueTxjrTARFU5-SD-DD1k,"2CX5+66 Ruma, Bangladesh",7MJJ2CX5+66
3,Ruma Upazila Health Complex,22.0473551,92.4074405,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Ruma,ChIJTzOWdzxjrTARrEASipeXuqE,not found,not found
4,"Rangamati, Barkal Health Complex",22.7236312,92.3848566,3.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Chotoharina - Baroharina Trail,ChIJhe1ltzWpUjcRKyiX0OcVz0I,"P9FM+FW Barkal, Bangladesh",7MJJP9FM+FW
5,Jurachari Upazilla Health Complex,22.6691937,92.3820563,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Juraichhari,ChIJTX6pEoqrUjcR88-VAP64NCc,not found,not found
6,Barkal Upazila Health Complex,22.7244254,92.3805678,2.1,9,"['hospital', 'health', 'point_of_interest', 'establishment']","Chotoharina - Baroharina Trail, Barkal",ChIJgcF7J8uuUjcRTdBtw73d9JY,"P9FJ+Q6 Barkal, Bangladesh",7MJJP9FJ+Q6
7,Dr. Matin Amrah community hospital,22.7251557,92.3795109,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Barkal,ChIJeykYmcqvUjcRe48SHXlOCRA,"P9GH+3R Barkal, Bangladesh",7MJJP9GH+3R
8,"URBAN HOSPITAL, CHARBAZAR",24.871525,92.3725567,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Das Patty Road, Karimganj",ChIJjWRaD9_TUTcRvjndfWrVW4Y,"V9CF+J2 Karimganj, Assam, India",7MPJV9CF+J2
9,Railway Hospital,24.8609354,92.3705597,3.2,5,"['hospital', 'health', 'point_of_interest', 'establishment']","Railway colony, Karimganj",ChIJ70YuF2jTUTcR2pci5Mgf28k,"V96C+96 Karimganj, Assam, India",7MPJV96C+96
10,Uttarkul Community Clinic,24.8781208,92.3677887,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","উত্তরকুল,বারঠাকুরী, জকিগঞ্জ উপজেলা",ChIJuQURDv3TUTcRapk9gTpym8o,"V9H9+64 Zakiganj, Bangladesh",7MPJV9H9+64
11,Upazila Health Complex Zakiganj,24.8836794,92.3645024,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Zakiganj",ChIJeYhdmMrTUTcR8RfoswUYzaw,"V9M7+FR Zakiganj, Bangladesh",7MPJV9M7+FR
12,Zakiganj Upazila Government Health Complex,24.8836949,92.3644906,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Zakiganj",ChIJ46dZ-avTUTcRSFeSyz_ERUA,"V9M7+FQ Zakiganj, Bangladesh",7MPJV9M7+FQ
13,Shovana Clinic,24.8674379,92.3633054,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Karimganj,ChIJs86BzkDTUTcREXf92nrBPvU,"V987+X8 Karimganj, Assam, India",7MPJV987+X8
14,North Karimganj New Hospital,24.8676925,92.3625313,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Karimganj",ChIJIRVjs0DTUTcRkDLeaseoco4,"V997+32 Karimganj, Assam, India",7MPJV997+32
15,"Mother & Child Health Wing, Civil Hospital",24.8677905,92.3624461,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Karimganj",ChIJn9kws0DTUTcRcvZR735DFm0,"V996+4X Karimganj, Assam, India",7MPJV996+4X
16,Karimganj Civil Hospital,24.8675958,92.3618061,3.5,68,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Karimganj",ChIJrWCOTEfTUTcRl8gMsZsM_6E,"V996+2P Karimganj, Assam, India",7MPJV996+2P
17,IMS Hospital,24.8712046,92.3599238,3.1,7,"['hospital', 'health', 'point_of_interest', 'establishment']","Shahid Sarani, Settlement Road",ChIJ-0tQC6nTUTcRU-3u6rbQ_44,"V9C5+FX Karimganj, Assam, India",7MPJV9C5+FX
18,"Red Cross Hospital, Karimganj",24.8693935,92.3584013,3.9,23,"['hospital', 'health', 'point_of_interest', 'establishment']",Karimganj Town,ChIJFUXFEDnTUTcRNbRUy8Qerbw,"V995+Q9 Karimganj, Assam, India",7MPJV995+Q9
19,Chakpotighat Community Clinic,22.6556702,92.3561887,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Juraichhari Upazila,ChIJod-n2wCtUjcRYGypScG6N00,"M944+7F Chakpotighat, Bangladesh",7MJJM944+7F
20,Upazila Health Complex,22.1784311,92.337698,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Rowangchhari,ChIJhXvckqtnrTARh26LxIHqT80,"58HQ+93 Rowangchhari, Bangladesh",7MJJ58HQ+93
21,Rowangchhari Upazila Health Complex,22.1785989,92.3374944,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Rowangchhari,ChIJnYPKjKtnrTARCHrWJP3E97k,not found,not found
22,Bilaichari Hospital,22.5005542,92.3363403,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bilaichari,ChIJ7beKP1tRrTAREsz_GTIE0ZQ,"G82P+6G Bilaichari, Bangladesh",7MJJG82P+6G
23,Chaumuhani Community Clinic,22.6622957,92.3361558,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Juraichhari Upazila,ChIJAfQLLymtUjcRTKG1PVBpU2g,"M86P+WF Chakpotighat, Bangladesh",7MJJM86P+WF
24,Belaichari Upazilla Health Complex,22.5001468,92.3359311,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Bilaichari,ChIJq3T2wC1RrTARXcGp4_knKd0,"G82P+39 Bilaichari, Bangladesh",7MJJG82P+39
25,Bahlatali Community Clinic,22.4724217,92.3319118,2,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Belaichhari Upazila,ChIJL3PxabVRrTAROA_anm1zGPw,"F8CJ+XQ Bilaichari, Bangladesh",7MJJF8CJ+XQ
26,Satabamka Community Clinic,25.0182964,92.318723,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kanaighat Upazila,ChIJ44S7FDcuUDcREAFF6ro9Yeo,"2899+8F Jaipur, Bangladesh",7MQJ2899+8F
27,Union Health and Family Welfare Center (ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র),20.807476,92.314801,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Teknaf - Shahparirdwip Road,ChIJ_21vdxobrjARhEqh4AsYaQA,"R847+XW Jaliapara, Bangladesh",7MGJR847+XW
28,Alikadam Military Hospital,21.6453781,92.3142954,4.8,8,"['hospital', 'health', 'point_of_interest', 'establishment']",Alikadam,ChIJj9IBI_ePrTARY49DLYtajPg,"J8W7+5P Alikadam, Bangladesh",7MHJJ8W7+5P
29,Alikadam Health Complex,21.6522891,92.3119619,3.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Lama - Alikadam Road, Alikadam",ChIJQRLkhVeFrTARlWwm9OE_aRE,"M826+WQ Alikadam, Bangladesh",7MHJM826+WQ
30,Universal Health Care,24.9156007,92.3084207,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Zakiganj Road,ChIJrdrZ9JItUDcR512AVUsWn8k,"W885+69 Barohal Union, Bangladesh",7MPJW885+69
31,Nazir para community clinic,20.8532662,92.3030971,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Teknaf - Shahparirdwip Road,ChIJBTqYf7UbrjAR2lUw_lzO2oc,"V833+86 Teknaf, Bangladesh",7MGJV833+86
32,Subrang PSC Community Nutrition Centre,20.8281862,92.300376,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Teknaf - Shahparirdwip Road,ChIJHWiuxxkRrjARige-7ZlzyMA,"R8H2+75 Sabrang, Bangladesh",7MGJR8H2+75
33,Haji Ejahar Mia Community Clinic,20.8221756,92.298797,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJ3aKGsWERrjAR7npBRYZkJEY,"R7CX+VG Sabrang, Bangladesh",7MGJR7CX+VG
34,Marine City Hospital (PVT) Ltd.,20.8757088,92.2981133,4.4,7,"['hospital', 'health', 'point_of_interest', 'establishment']",N1,ChIJz-KR0n8RrjARIs0XLOXAANg,"V7GX+76 Teknaf, Bangladesh",7MGJV7GX+76
35,Teknaf Sadar Hospital,20.8759635,92.2975749,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Cox's Bazar - Teknaf Highway,ChIJd_wgx20RrjARwuDE9onEFrM,"V7GX+92 Teknaf, Bangladesh",7MGJV7GX+92
36,Merin City Hospital,20.8578385,92.2975183,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Teknaf,ChIJ5xWtC60RrjARWB8-qmjVhdQ,"V75X+42 Teknaf, Bangladesh",7MGJV75X+42
37,"Upazila Health(Hospital) Complex,Teknaf.",20.8755415,92.2974944,4.9,8,"['hospital', 'health', 'point_of_interest', 'establishment']",Cox's Bazar - Teknaf Highway,ChIJyd70Vg8QrjARcYTVcElPcSE,"V7GW+6X Teknaf, Bangladesh",7MGJV7GW+6X
38,Samtabaka Union Hospital,25.02712,92.2955536,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kanaighat Upazila,ChIJa9OHGdMxUDcRLRAz1NXUaHw,"27GW+R6 Jaipur, Bangladesh",7MQJ27GW+R6
39,Charipara hospital,25.0271208,92.2955089,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","সাতবাক ইউনিয়ন রোড, Kanaighat",ChIJN6h_GdMxUDcRKjVV5PolLK4,"27GW+R6 Jaipur, Bangladesh",7MQJ27GW+R6
40,Koaingcharipara Community Clinic,20.8378874,92.2895638,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJxRZmmTARrjARhzEysoX_xDw,"R7QQ+5R Sabrang, Bangladesh",7MGJR7QQ+5R
41,Naraichhari Community Clinic,22.3574697,92.2886555,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kaptai,ChIJ4fr7pUFFrTARwkEFgKlnKYE,"974Q+XF Chinkyong, Bangladesh",7MJJ974Q+XF
42,Kochubonia Community Clinic,20.8487739,92.2886362,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Teknaf Upazila,ChIJTT4QvSsRrjARkAKQxLrmSI4,"R7XQ+GF Teknaf, Bangladesh",7MGJR7XQ+GF
43,PRIMARY HEALTH SUB CENTER. LAKHIPUR,24.6468185,92.2704172,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Mukamtilla Punje,ChIJbbanqv3EUTcRe2uo66jL4uc,"J7WC+P5 Mukamtilla Punje, Assam, India",7MPJJ7WC+P5
44,Krikhyong Para Community Clonic,22.2071613,92.2685832,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bandarban Sadar Upazila,ChIJRSwH805prTARKvJpMAmASR8,"6749+VC Bandarban, Bangladesh",7MJJ6749+VC
45,"Holy Health Hospital,Kanaighat,sylhet",25.0087437,92.2580485,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Kanaighat Upazila Health Complex, Kanaighat Road, Kanaighat",ChIJgwoNgAwxUDcREJintuXG2D0,"2755+F6 Kanaighat, Bangladesh",7MQJ2755+F6
46,The Holistic Health Care Center,25.0624327,92.2579754,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Sylhet,ChIJwb0wn_cxUDcROR2wAkWJfHM,"3765+X5 Baligaon, Bangladesh",7MQJ3765+X5
47,Save the children hospital,20.9432681,92.2568851,2,2,"['hospital', 'health', 'point_of_interest', 'establishment']","refugee camp 27, Jadipara",ChIJExMQyXEPrjARXn_NplrWNPI,"W7V4+8Q Jadipara, Bangladesh",7MGJW7V4+8Q
48,"Upazila Health Complex, Kanaighat",25.0120844,92.2557797,5,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Kanaighat,ChIJkYHbgA4xUDcRZBP03N0HcAY,"2764+R8 Kanaighat, Bangladesh",7MQJ2764+R8
49,"Goaljur Community Clinic, Sylhet",25.0088198,92.2556543,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kanaighat,ChIJq6qqqg0xUDcRSz-tEWCskY4,"2754+G7 Kanaighat, Bangladesh",7MQJ2754+G7
50,Kanaighat Upazila Health Complex,25.0123515,92.2548851,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Kanaighat,ChIJZ5f2eQ4xUDcRVXUEbjKQgb4,not found,not found
51,"Upazila Health Complex, Rajshali, Rangamati",22.3645041,92.2509189,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Chinkyong,ChIJfQSBtyFFrTARpnMvKM_8Xr8,"9772+R9 Chinkyong, Bangladesh",7MJJ9772+R9
52,"Rajasthali Upazila Health Complex, Chinkhyong",22.3644043,92.2506373,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Unnamed Road, Chinkyong",ChIJ_xBIM5pFrTARKabiZngw9hI,"9772+Q7 Chinkyong, Bangladesh",7MJJ9772+Q7
53,leda community clinic,20.9659386,92.2499828,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Nilla, টেকনাফ",ChIJ904gPE4PrjARn96gwe2dntU,"X68X+9X Dhumdumia, Bangladesh",7MGJX68X+9X
54,Nhila Hospital,21.0140473,92.24347,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Dakshin Nhila,ChIJabSVa5wJrjARfz1i_M_NkH0,"267V+J9 Dakshin Nhila, Bangladesh",7MHJ267V+J9
55,Union Sub Health Center,21.0138251,92.243349,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Chotapara, Dakshin Nhila",ChIJU4v34doJrjARYVVEs8zkKlQ,"267V+G8 Dakshin Nhila, Bangladesh",7MHJ267V+G8
56,Rongikhali Community Clinic,20.9842972,92.2429737,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Rongikhali, Hnila",ChIJF2KRskEJrjARofnfcCzITlE,"X6MV+P5 Ledhapara, Bangladesh",7MGJX6MV+P5
57,Origin Hospital,21.0250013,92.2418744,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Cox's Bazar - Teknaf Highway, Dakshin Nhila",ChIJK_K0ZnMJrjARhlX9q87GAOg,"26GR+2P Dakshin Nhila, Bangladesh",7MHJ26GR+2P
58,Nhila Shorkare Hospital,21.0254282,92.2384274,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Dakshin Nhila,ChIJVVVVVXEJrjAR7xSF5KAXWvo,"26GQ+59 Dakshin Nhila, Bangladesh",7MHJ26GQ+59
59,Mujibur Rahman Memorial Hospital,24.831143,92.2364366,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Beanibazar Upazila,ChIJewQnrWXMUTcRVkO1oaDYSoA,"R6JP+FH Sharopar, Bangladesh",7MPJR6JP+FH
60,Karnafuli Water Power Station Hospital,22.4860678,92.2327868,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kaptai,ChIJW0LLbOZPrTARZyXL7irrPEo,"F6PM+C4 Kaptai, Bangladesh",7MJJF6PM+C4
61,PDB Hospital,22.4861032,92.232768,3.5,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Kaptai,ChIJ0YaZ77dOrTARmgNA7gMSQZ8,"F6PM+C4 Kaptai, Bangladesh",7MJJF6PM+C4
62,Bandarban General Hospital,22.1895464,92.2265877,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Bandarban,ChIJf6QD8YhprTAR-zRGaW2gJLA,not found,not found
63,Bandarban Sadar Hospital,22.1896135,92.2264957,3.8,9,"['hospital', 'health', 'point_of_interest', 'establishment']",Bandarban,ChIJ_7Rt94hprTARYnQqCql5XjM,"56QG+RH Bandarban, Bangladesh",7MJJ56QG+RH
64,Ugalchhari Health Complex,23.1389898,92.2212741,4.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Baghaichhari Upazila,ChIJGSrhXyiSUjcRNs6VmD8ZXP0,"46QC+HG Baghaichhari, Bangladesh",7MMJ46QC+HG
65,"Islami shikka kendro health complex,Bandarban",22.1904413,92.2209911,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Banorupa Para Road, Bandarban",ChIJ1f65VSZqrTARLOvu0i0JH7A,"56RC+59 Bandarban, Bangladesh",7MJJ56RC+59
