Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Hafej Homio Hall,25.2774896,89.8288305,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Bakshiganj Upazila,ChIJMXbZ2SNo_TkRGGlFE3EA51U,"7RGH+XG Bogarchar, Bangladesh",7MQF7RGH+XG
Zannat diagnostic centre and hospital,25.184411,89.8680506,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bakshiganj,ChIJ9_YuYONl_TkRuJO8jQrjbQc,"5VM9+Q6 Bakshiganj, Bangladesh",7MQF5VM9+Q6
Baitol aman jame mosjid,25.184411,89.8680506,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Bakshiganj,ChIJ-X-DlUJl_TkRltiEJhji4MA,"5VM9+Q6 Bakshiganj, Bangladesh",7MQF5VM9+Q6
অক্সিজেন মেডিকেয়ার হল,25.1833511,89.8695846,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bakshiganj - Dasher Hat Road, Bakshiganj",ChIJWSUpurhl_TkRhT-rNP0HR_A,"5VM9+8R Bakshiganj, Bangladesh",7MQF5VM9+8R
সজীব সাকিব মেডিকেল হল,25.1843668,89.8722507,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Unnamed Road, Bakshiganj",ChIJXdxjW4dl_TkRnYzjRbVf3QE,"5VMC+PW Bakshiganj, Bangladesh",7MQF5VMC+PW
Surjer Hashi Clinic,25.1901436,89.8695056,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bakshiganj,ChIJpT0X151n_TkRLvtGLzKqL_c,"5VR9+3R Bakshiganj, Bangladesh",7MQF5VR9+3R
দারুস সালাম হাসপাতাল বকশীগঞ্জ,25.1790392,89.8708117,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","নীলক্ষীয়া রোড, Bakshiganj",ChIJtxiX2vBl_TkRI2sQ27lyBG8,"5VHC+J8 Bakshiganj, Bangladesh",7MQF5VHC+J8
Darus Salam Hospital,25.1788326,89.8711571,5,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Bakshiganj Upazila,ChIJM9zweY9l_TkRkVLIqXUlWiA,"5VHC+GF Bakshiganj, Bangladesh",7MQF5VHC+GF
Bakshiganj Upazila Health Complex,25.1775692,89.8706343,4.4,9,"['hospital', 'health', 'point_of_interest', 'establishment']",Bakshiganj Upazila,ChIJ5_fbNt1l_TkRLH52OdH-kEg,"5VHC+27 Bakshiganj, Bangladesh",7MQF5VHC+27
বকশীগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,25.1774863,89.8705187,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Rajendraganj,ChIJufFyu_Zl_TkRk-lOJlabL14,"5VGC+X6 Bakshiganj, Bangladesh",7MQF5VGC+X6
Bakshiganj Central Hospital,25.1774629,89.8705133,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Rajendraganj,ChIJPaTx2jxl_TkRj9aR85pNUo4,"5VGC+X6 Bakshiganj, Bangladesh",7MQF5VGC+X6
Islamic mission,25.1899621,89.8508816,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bakshiganj - Dewanganj Road,ChIJLziftXtn_TkR70hP4p_i6dI,"5VQ2+X9 Bakshiganj, Bangladesh",7MQF5VQ2+X9
মেরুর চর উপসাস্থকেন্দ্র,25.1547511,89.8516714,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","মেরুর চর, Bakshiganj",ChIJu2cgTeVl_TkRyPOBxs7rq2k,"5V32+WM Gaibandha, Bangladesh",7MQF5V32+WM
চিনারচর কমিউনিটি ক্লিনিক,25.1701754,89.8234382,3,2,"['hospital', 'health', 'point_of_interest', 'establishment']",ইউনিয়ন পরিষদ রোড,ChIJiwmqZoJv_TkRPAyjSYvNuBw,"5RCF+39 Chinarchor, Bangladesh",7MQF5RCF+39
Abdul Malek Community Hospital,25.212842,89.9178031,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","শ্রীবরদী উপজেলা, Sowdagor Bari",ChIJ6y0ASVpn_TkRJes6Dn-L2QA,"6W79+44 Bhaiyadanga, Bangladesh",7MQF6W79+44
Tangari para community clinic,25.237729,89.8430581,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Tangari para Road,ChIJxWX2K2Np_TkRgGLB0nwW6ps,"6RQV+36 Uthanerpara, Bangladesh",7MQF6RQV+36
Sreebordi Upzila Hospital,25.149808,89.934806,5,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Sreebardi,ChIJr9j_LJtj_TkRtyMu79qp6S4,"4WXM+WW Sreebardi, Bangladesh",7MQF4WXM+WW
আব্দুল গনি অন্ধ কল্যাণ চক্ষু হাসপাতাল,25.147401,89.9393363,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Sreebardi,ChIJ3wjDt69j_TkRBF09HV4gaDM,"4WWQ+XP Sreebardi, Bangladesh",7MQF4WWQ+XP
community health centre,25.2670142,89.8772661,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bakshiganj Upazila,ChIJsZHgLYln_TkRvzL0S213E9M,"7V8G+RW Uthanerpara, Bangladesh",7MQF7V8G+RW
Shekhdi Community Clinic,25.1403743,89.9499462,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Sreebardi,ChIJk7Mnwglj_TkRfcjIRrU1UPk,"4WRX+4X Sreebardi, Bangladesh",7MQF4WRX+4X
SHEMUL,25.1528075,89.7575499,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Dewanganj Upazila,ChIJLdjecHZt_TkR54WJTEq2iFE,"5Q35+42 Dewanganj, Bangladesh",7MQF5Q35+42
Gamaria Communiti Clinic,25.1487269,89.7709424,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Dewanganj Upazila,ChIJrfPT0gBt_TkRdUoZiFGCB0g,"4QXC+F9 Dewanganj, Bangladesh",7MQF4QXC+F9
Dewangonj Adhunik Hospital,25.1415002,89.7728337,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Kharma,ChIJJ8OyfStt_TkR5mBftkNL_28,"4QRF+J4 Dewanganj, Bangladesh",7MQF4QRF+J4
দেওয়ানগঞ্জ আধুনিক হসপিটাল,25.1410315,89.7729725,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kharma,ChIJo2rNNUxt_TkRO_Y863w8q-0,"4QRF+C5 Dewanganj, Bangladesh",7MQF4QRF+C5
Dewanganj Upazila Health Complex,25.1617691,89.7588987,4.3,7,"['hospital', 'health', 'point_of_interest', 'establishment']",Dewanganj,ChIJ5WkVAT9s_TkRzcrGM2qQemc,"5Q65+PH Dewanganj, Bangladesh",7MQF5Q65+PH
Hospital,25.1620068,89.7588372,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Dewanganj,ChIJbzOsAD9s_TkRVXLHCLUQE6A,"5Q65+RG Dewanganj, Bangladesh",7MQF5Q65+RG
Upazila Health Complex,25.1620332,89.7584721,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Dewanganj - Bahadurabad Road,ChIJgWH-6Q9t_TkRxuY-yeKWlcY,"5Q65+R9 Dewanganj, Bangladesh",7MQF5Q65+R9
animal hospital,25.1621789,89.7638302,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Dewanganj Upazila,ChIJAyXOIURt_TkRGsDLc_49C2I,"5Q67+VG Dewanganj, Bangladesh",7MQF5Q67+VG
livestock office,25.1640858,89.7630741,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","A.Rouf Road, Dewanganj",ChIJ-___kD1s_TkR1RN-u1Vaz8A,"5Q77+J6 Dewanganj, Bangladesh",7MQF5Q77+J6
Pacific Dental care,25.1663301,89.7641976,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJeeSTzIdt_TkRkGqW7QSoxNs,"5Q87+GM Dewanganj, Bangladesh",7MQF5Q87+GM
Islamia Eye Hospital,25.1677648,89.7658224,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","দেওয়ানগঞ্জ উপজেলা, Bazar Road, Dewanganj Upazila",ChIJlSukMrpt_TkRG5_WEKU0no0,"5Q98+48 Dewanganj, Bangladesh",7MQF5Q98+48
Surjer Hashi Network Dewanganj 229,25.1726192,89.7620029,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Dewanganj Upazila,ChIJjaFq9qNt_TkRipwD10GjZTk,"5QF6+2R Dewanganj, Bangladesh",7MQF5QF6+2R
