Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Komarvog Community Clinic,24.8480549,89.0288687,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Shalgram Road, Chhatiangram",ChIJKd2CNndh_DkRK2DteYhj44Y,"R2XH+6G Chhatiangram, Bangladesh",7MPFR2XH+6G
LABAID Diagnostic Naogaon,24.8164632,88.9392029,4.3,6,"['pharmacy', 'hospital', 'doctor', 'health', 'point_of_interest', 'store', 'establishment']","Ukil Para, Khan Mansion, House-04, Kazir Moar, Main Road, নওগাঁ",ChIJO1pYd618_DkR0yuueIhx8pA,"RW8Q+HM Naogaon, Bangladesh",7MPCRW8Q+HM
Upazila Health Complex,24.8216393,89.0400908,4,6,"['hospital', 'health', 'point_of_interest', 'establishment']","Bogra - Naogaon Highway, Adamdighi",ChIJH2y3oDth_DkRnYu77G74qOA,"R2CR+M2 Adamdighi, Bangladesh",7MPFR2CR+M2
Adamdighi Upazila Health Complex,24.8222349,89.044119,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Adamdighi Upazila,ChIJ-w7GzEZh_DkRvVRuZUizcrU,"R2CV+VJ Adamdighi, Bangladesh",7MPFR2CV+VJ
Adamdighi (Gov) Hospital,24.8222674,89.0441308,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Adamdighi,ChIJ6xvPWsVh_DkRDuMgWFKVTco,"R2CV+WM Adamdighi, Bangladesh",7MPFR2CV+WM
Adamdighi Hospital,24.8225404,89.0443789,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Adamdighi,ChIJzYQrCzth_DkRYG_ggXy_IfI,"R2FV+2Q Adamdighi, Bangladesh",7MPFR2FV+2Q
Protiva clinic and diagnostic center,24.8140869,89.0023845,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Chhatiangram,ChIJFyqBWENj_DkR_-BUWXjb3-w,"R272+JX Chhatiangram, Bangladesh",7MPFR272+JX
বোহার কমিনিটি ক্লিনিক,24.774194,89.0797509,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Raninagar Upazila,ChIJDaDKSaNn_DkRxw31fqSQFKk,"Q3FH+MW Kundagram, Bangladesh",7MPFQ3FH+MW
Boha Hospital,24.7741496,89.0798086,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJ7c0paWNn_DkRfYVCT0uqvJI,"Q3FH+MW Kundagram, Bangladesh",7MPFQ3FH+MW
মন্ডল মেডিকেলএ্যান্ড কনসালটেশন সেন্টার,24.7762308,88.9940276,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","আদমদিঘী উপজেলা, Santahar Rd,Natore baipas",ChIJ6yEw0-1l_DkR-_nCrZO7ezc,"QXGV+FJ Santahar, Bangladesh",7MPCQXGV+FJ
Santahar Railway Hospital,24.8039447,88.9851487,3.7,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Santahar Pouroshova,ChIJZ5ULOnlk_DkR5Yy6geaAFUw,"RX3P+H3 Santahar Pouroshova, Bangladesh",7MPCRX3P+H3
ভান্ডারগ্রাম সরকারি স্বাস্থ্য কেন্দ্র,24.7595076,89.0770844,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhatohali - Bogarbari Bazar Road,ChIJ-2SYwINn_DkRAOJ3ftJGNPw,"Q35G+RR Champapur, Bangladesh",7MPFQ35G+RR
Santaher Clinic,24.8067261,88.9794074,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","New Shahapur, Bogra - Santahar Road, সান্তাহার পৌরসভা",ChIJFXlJSQdj_DkRXd8BowJ-DQw,"RX4H+MQ Santahar Pouroshova, Bangladesh",7MPCRX4H+MQ
পালশাকমিউনিটিক্লিনিক,24.7511083,89.0095678,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",পশ্চিম,ChIJuUayVOhl_DkRLA84ZDjaBVk,"Q225+CR Santahar, Bangladesh",7MPFQ225+CR
