Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Komarvog Community Clinic,24.8480549,89.0288687,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Shalgram Road, Chhatiangram",ChIJKd2CNndh_DkRK2DteYhj44Y,"R2XH+6G Chhatiangram, Bangladesh",7MPFR2XH+6G
Doctor Samraat Chamber,24.8766153,89.0010763,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Tilakpur,ChIJjU4C0z9i_DkRJEP00sIvFlI,"V2G2+JC Tilakpur, Bangladesh",7MPFV2G2+JC
LABAID Diagnostic Naogaon,24.8164632,88.9392029,4.3,6,"['pharmacy', 'hospital', 'doctor', 'health', 'point_of_interest', 'store', 'establishment']","Ukil Para, Khan Mansion, House-04, Kazir Moar, Main Road, নওগাঁ",ChIJO1pYd618_DkR0yuueIhx8pA,"RW8Q+HM Naogaon, Bangladesh",7MPCRW8Q+HM
Dr. Sumon chember Rampura,24.7897912,89.0276372,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Adamdighi Upazila,ChIJSVqxPgpn_DkRKwpgoFqGH78,"Q2QH+W3 Santahar, Bangladesh",7MPFQ2QH+W3
Upazila Health Complex,24.8216393,89.0400908,4,6,"['hospital', 'health', 'point_of_interest', 'establishment']","Bogra - Naogaon Highway, Adamdighi",ChIJH2y3oDth_DkRnYu77G74qOA,"R2CR+M2 Adamdighi, Bangladesh",7MPFR2CR+M2
Adamdighi Upazila Health Complex,24.8222349,89.044119,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Adamdighi Upazila,ChIJ-w7GzEZh_DkRvVRuZUizcrU,"R2CV+VJ Adamdighi, Bangladesh",7MPFR2CV+VJ
Adamdighi (Gov) Hospital,24.8222674,89.0441308,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Adamdighi,ChIJ6xvPWsVh_DkRDuMgWFKVTco,"R2CV+WM Adamdighi, Bangladesh",7MPFR2CV+WM
Adamdighi Hospital,24.8225404,89.0443789,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Adamdighi,ChIJzYQrCzth_DkRYG_ggXy_IfI,"R2FV+2Q Adamdighi, Bangladesh",7MPFR2FV+2Q
Khan Pharmacy,24.8148881,89.0107988,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Bogra - Naogaon Highway, Chhatiangram",ChIJHXK9CCtj_DkRJmWlmv3PBxQ,"R276+X8 Chhatiangram, Bangladesh",7MPFR276+X8
"সোহাগ হোমিও হল Shohag Homeo Hall, Dhaka Road (East), SANTAHAR, BOGRA",24.8146514,89.0094931,4.4,5,"['drugstore', 'pharmacy', 'hospital', 'health', 'point_of_interest', 'store', 'establishment']","Purbo Dhaka Road, Santahar, Chhatiangram",ChIJo5YgXvpj_DkR2G5fW_DIUlo,"R275+VQ Chhatiangram, Bangladesh",7MPFR275+VQ
Ferdusi Medical Store,24.8142714,89.0760162,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bazar, Nasratpur",ChIJ4_pC6gFh_DkRHVR06lhLOPk,"R37G+PC Nasratpur, Bangladesh",7MPFR37G+PC
Protiva clinic and diagnostic center,24.8140869,89.0023845,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Chhatiangram,ChIJFyqBWENj_DkR_-BUWXjb3-w,"R272+JX Chhatiangram, Bangladesh",7MPFR272+JX
বোহার কমিনিটি ক্লিনিক,24.774194,89.0797509,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Raninagar Upazila,ChIJDaDKSaNn_DkRxw31fqSQFKk,"Q3FH+MW Kundagram, Bangladesh",7MPFQ3FH+MW
Boha Hospital,24.7741496,89.0798086,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJ7c0paWNn_DkRfYVCT0uqvJI,"Q3FH+MW Kundagram, Bangladesh",7MPFQ3FH+MW
মন্ডল মেডিকেলএ্যান্ড কনসালটেশন সেন্টার,24.7762308,88.9940276,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","আদমদিঘী উপজেলা, Santahar Rd,Natore baipas",ChIJ6yEw0-1l_DkR-_nCrZO7ezc,"QXGV+FJ Santahar, Bangladesh",7MPCQXGV+FJ
Santahar Railway Hospital,24.8039447,88.9851487,3.7,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Santahar Pouroshova,ChIJZ5ULOnlk_DkR5Yy6geaAFUw,"RX3P+H3 Santahar Pouroshova, Bangladesh",7MPCRX3P+H3
ভান্ডারগ্রাম সরকারি স্বাস্থ্য কেন্দ্র,24.7595076,89.0770844,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhatohali - Bogarbari Bazar Road,ChIJ-2SYwINn_DkRAOJ3ftJGNPw,"Q35G+RR Champapur, Bangladesh",7MPFQ35G+RR
Mukta Medical Hall,24.8087895,88.9840107,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Santahar Pouroshova,ChIJpevZTJlj_DkR5oheyK-xAns,"RX5M+GJ Santahar Pouroshova, Bangladesh",7MPCRX5M+GJ
Santaher Clinic,24.8067261,88.9794074,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","New Shahapur, Bogra - Santahar Road, সান্তাহার পৌরসভা",ChIJFXlJSQdj_DkRXd8BowJ-DQw,"RX4H+MQ Santahar Pouroshova, Bangladesh",7MPCRX4H+MQ
পালশাকমিউনিটিক্লিনিক,24.7511083,89.0095678,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",পশ্চিম,ChIJuUayVOhl_DkRLA84ZDjaBVk,"Q225+CR Santahar, Bangladesh",7MPFQ225+CR
Komarvog Community Clinic,24.8480549,89.0288687,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Shalgram Road, Chhatiangram",ChIJKd2CNndh_DkRK2DteYhj44Y,"R2XH+6G Chhatiangram, Bangladesh",7MPFR2XH+6G
Doctor Samraat Chamber,24.8766153,89.0010763,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Tilakpur,ChIJjU4C0z9i_DkRJEP00sIvFlI,"V2G2+JC Tilakpur, Bangladesh",7MPFV2G2+JC
Ferdusi Medical Store,24.8142714,89.0760162,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bazar, Nasratpur",ChIJ4_pC6gFh_DkRHVR06lhLOPk,"R37G+PC Nasratpur, Bangladesh",7MPFR37G+PC
শিব্বাটি কমিউনিটি ক্লিনিক,24.8025389,89.1065649,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Tilach,ChIJMYi0ggtd_DkRi5VVRhidPnk,"R434+2J Kundagram, Bangladesh",7MPFR434+2J
Adamdighi Hospital,24.8225404,89.0443789,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Adamdighi,ChIJzYQrCzth_DkRYG_ggXy_IfI,"R2FV+2Q Adamdighi, Bangladesh",7MPFR2FV+2Q
Adamdighi (Gov) Hospital,24.8222674,89.0441308,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Adamdighi,ChIJ6xvPWsVh_DkRDuMgWFKVTco,"R2CV+WM Adamdighi, Bangladesh",7MPFR2CV+WM
Adamdighi Upazila Health Complex,24.8222349,89.044119,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Adamdighi Upazila,ChIJ-w7GzEZh_DkRvVRuZUizcrU,"R2CV+VJ Adamdighi, Bangladesh",7MPFR2CV+VJ
Upazila Health Complex,24.8216393,89.0400908,4,6,"['hospital', 'health', 'point_of_interest', 'establishment']","Bogra - Naogaon Highway, Adamdighi",ChIJH2y3oDth_DkRnYu77G74qOA,"R2CR+M2 Adamdighi, Bangladesh",7MPFR2CR+M2
বোহার কমিনিটি ক্লিনিক,24.774194,89.0797509,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Raninagar Upazila,ChIJDaDKSaNn_DkRxw31fqSQFKk,"Q3FH+MW Kundagram, Bangladesh",7MPFQ3FH+MW
Boha Hospital,24.7741496,89.0798086,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJ7c0paWNn_DkRfYVCT0uqvJI,"Q3FH+MW Kundagram, Bangladesh",7MPFQ3FH+MW
Dr. Sumon chember Rampura,24.7897912,89.0276372,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Adamdighi Upazila,ChIJSVqxPgpn_DkRKwpgoFqGH78,"Q2QH+W3 Santahar, Bangladesh",7MPFQ2QH+W3
ভান্ডারগ্রাম সরকারি স্বাস্থ্য কেন্দ্র,24.7595076,89.0770844,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhatohali - Bogarbari Bazar Road,ChIJ-2SYwINn_DkRAOJ3ftJGNPw,"Q35G+RR Champapur, Bangladesh",7MPFQ35G+RR
Khan Pharmacy,24.8148881,89.0107988,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Bogra - Naogaon Highway, Chhatiangram",ChIJHXK9CCtj_DkRJmWlmv3PBxQ,"R276+X8 Chhatiangram, Bangladesh",7MPFR276+X8
"সোহাগ হোমিও হল Shohag Homeo Hall, Dhaka Road (East), SANTAHAR, BOGRA",24.8146514,89.0094931,4.4,5,"['drugstore', 'pharmacy', 'hospital', 'health', 'point_of_interest', 'store', 'establishment']","Purbo Dhaka Road, Santahar, Chhatiangram",ChIJo5YgXvpj_DkR2G5fW_DIUlo,"R275+VQ Chhatiangram, Bangladesh",7MPFR275+VQ
দেওড়া কমিউনিটি ক্লিনিক,24.8805773,89.0616231,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Akkelpur Upazila,ChIJG6A7iDZg_DkR6cXE9NdhM0w,"V3J6+6J Punduria, Bangladesh",7MPFV3J6+6J
Protiva clinic and diagnostic center,24.8140869,89.0023845,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Chhatiangram,ChIJFyqBWENj_DkR_-BUWXjb3-w,"R272+JX Chhatiangram, Bangladesh",7MPFR272+JX
Bappy Veterinary Store,24.8468669,88.9930008,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Chhatiangram,ChIJWZCBL_xj_DkRx7YOSVinaVQ,"RXWV+P6 Chhatiangram, Bangladesh",7MPCRXWV+P6
ছাতিয়ানগ্রাম ইউনিয়ন স্বাস্থ্য সেবা কেন্দ্র,24.8456015,88.9915323,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Chhatiangram,ChIJg2TOoLFj_DkRkcwE_B07-dE,"RXWR+6J Chhatiangram, Bangladesh",7MPCRXWR+6J
Santahar Railway Hospital,24.8039447,88.9851487,3.7,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Santahar Pouroshova,ChIJZ5ULOnlk_DkR5Yy6geaAFUw,"RX3P+H3 Santahar Pouroshova, Bangladesh",7MPCRX3P+H3
মন্ডল মেডিকেলএ্যান্ড কনসালটেশন সেন্টার,24.7762308,88.9940276,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","আদমদিঘী উপজেলা, Santahar Rd,Natore baipas",ChIJ6yEw0-1l_DkR-_nCrZO7ezc,"QXGV+FJ Santahar, Bangladesh",7MPCQXGV+FJ
LABAID Diagnostic Naogaon,24.8164632,88.9392029,4.3,6,"['pharmacy', 'hospital', 'doctor', 'health', 'point_of_interest', 'store', 'establishment']","Ukil Para, Khan Mansion, House-04, Kazir Moar, Main Road, নওগাঁ",ChIJO1pYd618_DkR0yuueIhx8pA,"RW8Q+HM Naogaon, Bangladesh",7MPCRW8Q+HM
Komarvog Community Clinic,24.8480549,89.0288687,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Shalgram Road, Chhatiangram",ChIJKd2CNndh_DkRK2DteYhj44Y,"R2XH+6G Chhatiangram, Bangladesh",7MPFR2XH+6G
Doctor Samraat Chamber,24.8766153,89.0010763,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Tilakpur,ChIJjU4C0z9i_DkRJEP00sIvFlI,"V2G2+JC Tilakpur, Bangladesh",7MPFV2G2+JC
মন্ডল মেডিকেলএ্যান্ড কনসালটেশন সেন্টার,24.7762308,88.9940276,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","আদমদিঘী উপজেলা, Santahar Rd,Natore baipas",ChIJ6yEw0-1l_DkR-_nCrZO7ezc,"QXGV+FJ Santahar, Bangladesh",7MPCQXGV+FJ
Santahar Railway Hospital,24.8039447,88.9851487,3.7,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Santahar Pouroshova,ChIJZ5ULOnlk_DkR5Yy6geaAFUw,"RX3P+H3 Santahar Pouroshova, Bangladesh",7MPCRX3P+H3
পালশাকমিউনিটিক্লিনিক,24.7511083,89.0095678,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",পশ্চিম,ChIJuUayVOhl_DkRLA84ZDjaBVk,"Q225+CR Santahar, Bangladesh",7MPFQ225+CR
Santaher Clinic,24.8067261,88.9794074,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","New Shahapur, Bogra - Santahar Road, সান্তাহার পৌরসভা",ChIJFXlJSQdj_DkRXd8BowJ-DQw,"RX4H+MQ Santahar Pouroshova, Bangladesh",7MPCRX4H+MQ
Dr. Sumon chember Rampura,24.7897912,89.0276372,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Adamdighi Upazila,ChIJSVqxPgpn_DkRKwpgoFqGH78,"Q2QH+W3 Santahar, Bangladesh",7MPFQ2QH+W3
Mukta Medical Hall,24.8087895,88.9840107,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Santahar Pouroshova,ChIJpevZTJlj_DkR5oheyK-xAns,"RX5M+GJ Santahar Pouroshova, Bangladesh",7MPCRX5M+GJ
Protiva clinic and diagnostic center,24.8140869,89.0023845,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Chhatiangram,ChIJFyqBWENj_DkR_-BUWXjb3-w,"R272+JX Chhatiangram, Bangladesh",7MPFR272+JX
"সোহাগ হোমিও হল Shohag Homeo Hall, Dhaka Road (East), SANTAHAR, BOGRA",24.8146514,89.0094931,4.4,5,"['drugstore', 'pharmacy', 'hospital', 'health', 'point_of_interest', 'store', 'establishment']","Purbo Dhaka Road, Santahar, Chhatiangram",ChIJo5YgXvpj_DkR2G5fW_DIUlo,"R275+VQ Chhatiangram, Bangladesh",7MPFR275+VQ
Khan Pharmacy,24.8148881,89.0107988,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Bogra - Naogaon Highway, Chhatiangram",ChIJHXK9CCtj_DkRJmWlmv3PBxQ,"R276+X8 Chhatiangram, Bangladesh",7MPFR276+X8
মন্ডল মেডিকেল এ্যান্ড কনসালটেশন সেন্টার,24.7402168,88.9691905,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Raninagar Railway, সান্তাহার",ChIJ1XSq5m1l_DkRfYrlAP8w8to,"PXR9+3M Santahar, Bangladesh",7MPCPXR9+3M
উদয়ণ মাদকাসক্তি নিরাময় ও পুনর্বাসন কেন্দ্র,24.8150541,88.9728045,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Naogaon Sadar Upazila,ChIJHRUWdDVj_DkR0iAZi_atLT8,"RX8F+24 Santahar Pouroshova, Bangladesh",7MPCRX8F+24
Udayn Drugs healing and rehabilitation center,24.8150388,88.9727264,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Naogaon Sadar Upazila,ChIJCXgcTTFj_DkRmXjhaDVmb64,"RX8F+23 Santahar Pouroshova, Bangladesh",7MPCRX8F+23
Naogaon digital sishu hospital,24.8085655,88.9607515,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Sadar Hospital Road,ChIJxRa1mE1j_DkRQKpgAe2y9sI,"RX56+C8 Naogaon, Bangladesh",7MPCRX56+C8
বিপু ল্যাব এন্ড হসপিটাল,24.7414466,88.9619053,2,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Raninagar,ChIJe5bmsyxl_DkRJ3ex-p0NrUc,"PXR6+HQ Raninagar, Bangladesh",7MPCPXR6+HQ
Bipu Lab & Hospital,24.7414275,88.961909,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital get, Raninagar",ChIJKdyQl7Jl_DkRBBLvRcHLwOo,"PXR6+HQ Raninagar, Bangladesh",7MPCPXR6+HQ
বিপু ল্যাব এন্ড হসপিটাল,24.7413449,88.9619154,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Raninagar,ChIJyfP9IIJl_DkRg6AxnqA9cdE,"PXR6+GQ Raninagar, Bangladesh",7MPCPXR6+GQ
RANINAGAR HOSPITAL,24.7420024,88.9609451,4.8,11,"['hospital', 'health', 'point_of_interest', 'establishment']","Naogaon - Natore Highway, Raninagar",ChIJ6dpEIhZl_DkRa6WwKwAXSdU,"PXR6+R9 Raninagar, Bangladesh",7MPCPXR6+R9
Army Medical College,24.7549718,89.3967631,5,13,"['hospital', 'health', 'point_of_interest', 'establishment']","ঢাকা - বগুড়া মহাসড়ক, Aria Bazar",ChIJAaStnNRS_DkR35sGFi1nw6M,"Q93W+XP Aria Bazar, Bangladesh",7MPFQ93W+XP
