District,Thana,SubOffice,Post Code,location,coordinate
Bogura,Adamdighi,Adamdighi,5890,"5890 Adamdighi,Bogura","24.8002827,89.0418249"
Bogura,Adamdighi,Nasharatpur,5892,"5892 Nasharatpur,Bogura","24.8147449,89.0772772"
Bogura,Adamdighi,Santahar,5891,"5891 Santahar,Bogura","24.7762308,88.9940276"
Bogura,Bogura Sadar,Bogura Canttonment,5801,"5801 Bogura Canttonment,Bogura","24.7604259,89.3957093"
Bogura,Bogura Sadar,Bogura Sadar,5800,"5800 Bogura Sadar,Bogura","24.848078,89.3729633"
Bogura,Dhunat,Dhunat,5850,"5850 Dhunat,Bogura","24.6779694,89.5403279"
Bogura,Dhunat,Gosaibari,5851,"5851 Gosaibari,Bogura","24.6737391,89.39320099999999"
Bogura,Dupchanchia,Dupchanchia,5880,"5880 Dupchanchia,Bogura","24.8812002,89.17774200000001"
Bogura,Dupchachia,Talora,5881,"5881 Talora,Bogura","24.8241424,89.18121219999999"
Bogura,Gabtoli,-,5820,"5820 -,Bogura","24.848078,89.3729633"
Bogura,Gabtoli,Sukhanpukur,5821,"5821 Sukhanpukur,Bogura","24.9261957,89.47985109999999"
Bogura,Kahalu,Kahalu,5870,"5870 Kahalu,Bogura","24.8282604,89.26810189999999"
Bogura,Nandigram,Nandigram,5860,"5860 Nandigram,Bogura","24.6456251,89.2479073"
Bogura,Sariakandi,Chandan Baisha,5831,"5831 Chandan Baisha,Bogura","24.802831,89.61103779999999"
Bogura,Sariakandi,Sariakandi,5830,"5830 Sariakandi,Bogura","24.8887731,89.5709844"
Bogura,Sherpur,Chandaikona,5841,"5841 Chandaikona,Bogura","24.5676556,89.517816"
Bogura,Sherpur,Palli Unnyan Accadem,5842,"5842 Palli Unnyan Accadem,Bogura","24.848078,89.3729633"
Bogura,Sherpur,Sherpur,5840,"5840 Sherpur,Bogura","24.6597515,89.4221967"
Bogura,Shibganj,Shibganj,5810,"5810 Shibganj,Bogura","25.0005682,89.3203233"
Bogura,Sonatola,Sonatola,5826,"5826 Sonatola,Bogura","25.0295349,89.4674665"
Chapai Nawabganj,Bholahat,Bholahat,6330,"6330 Bholahat,Chapai Nawabganj","24.9456529,88.2278608"
Chapai Nawabganj,Chapai Nawabganj Sadar,Amnura,6303,"6303 Amnura,Chapai Nawabganj","24.6316503,88.40402910000002"
Chapai Nawabganj,Chapai Nawabganj Sadar,Chapai Nawabganj Sadar,6300,"6300 Chapai Nawabganj Sadar,Chapai Nawabganj","24.6042676,88.2537966"
Chapai Nawabganj,Chapai Nawabganj Sadar,Rajarampur,6301,"6301 Rajarampur,Chapai Nawabganj","24.5775381,88.26606079999999"
Chapai Nawabganj,Chapai Nawabganj Sadar,Ramchandrapur,6302,"6302 Ramchandrapur,Chapai Nawabganj","24.6042001,88.2059418"
Chapai Nawabganj,Nachol,Mandumala,6311,"6311 Mandumala,Chapai Nawabganj","24.5797195,88.2704497"
Chapai Nawabganj,Nachol,Nachol,6310,"6310 Nachol,Chapai Nawabganj","24.7326602,88.4137279"
Chapai Nawabganj,Rohanpur,Gomashtapur,6321,"6321 Gomashtapur,Chapai Nawabganj","24.7537978,88.3008957"
Chapai Nawabganj,Rohanpur,Rohanpur,6320,"6320 Rohanpur,Chapai Nawabganj","24.8192293,88.3251456"
Chapai Nawabganj,Shibganj U.P.O,Kansart,6341,"6341 Kansart,Chapai Nawabganj","24.7299057,88.17060470000001"
Chapai Nawabganj,Shibganj U.P.O,Manaksha,6342,"6342 Manaksha,Chapai Nawabganj","24.5797195,88.2704497"
Chapai Nawabganj,Shibganj U.P.O,Shibganj U.P.O,6340,"6340 Shibganj U.P.O,Chapai Nawabganj","24.6837476,88.15719349999999"
