Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Hakimpur Upazila Health Complex,25.2860578,89.012652,3.7,17,"['hospital', 'health', 'point_of_interest', 'establishment']","হাসপাতাল রোড, বাংলাহিলি, Hospital Road, Hakimpur",ChIJf0cxV_m9_DkRT0WIr6kMBkQ,"72P7+C3 Hakimpur, Bangladesh",7MQF72P7+C3
৩ নং আলীহাট সাস্থ্য সেবা কেন্দ্র,25.2745502,89.0131532,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Monsapur, Hakimpur",ChIJ25I1AO6X_DkRuyCADBm6aLc,"72F7+R7 Hakimpur, Bangladesh",7MQF72F7+R7
Surjer Hashi Clinic,25.2764568,89.0145918,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Matpara Road, Hakimpur",ChIJN6pLCNiX_DkR6GMgdKEMLRQ,"72G7+HR Hakimpur, Bangladesh",7MQF72G7+HR
"Hili Thana More,rainagar",25.2791051,88.9961853,5,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Baikunthapur,ChIJTbOZiyCW_DkRlkSjWN-jVtA,"7XHW+JF Baikunthapur, West Bengal, India",7MQC7XHW+JF
HILI GRAMIN HOSPITAL,25.2784642,88.9919947,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Mondap para Road, Hili",ChIJK0ehDieW_DkR1rEp98q7GHA,"7XHR+9Q Hili, West Bengal, India",7MQC7XHR+9Q
Hili Gramin Hospital,25.2792428,88.991874,3.5,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Purbba Raynagar,ChIJyWehdieW_DkRamzIO_ZN0M0,"7XHR+MP Purbba Raynagar, West Bengal, India",7MQC7XHR+MP
ananta aushadhalay,25.2810712,88.9812688,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Hili Balurghat Highway, Bilaspara",ChIJBzlPboC9_DkRmgj9i29DrZA,"7XJJ+CG Bilaspara, West Bengal, India",7MQC7XJJ+CG
SONAPUR HOSPITAL,25.2601434,89.035533,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchbibi Upazila,ChIJYe1vZViV_DkRPIsJfM2-dBI,"726P+36 Bagjana, Bangladesh",7MQF726P+36
Kurdamosul hospital,25.2601349,89.0356429,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchbibi Upazila,ChIJbTB6c86V_DkRBXvaNyDNG8U,"726P+37 Bagjana, Bangladesh",7MQF726P+37
panjil health center,25.2825688,88.975478,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital More Road, Bilaspara",ChIJE0nMen69_DkR_grt2wVvEXA,"7XMG+25 Bilaspara, West Bengal, India",7MQC7XMG+25
বিসমিল্লাহ চিকিৎসালয়,25.2402853,89.0112754,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","পাঁচবিবি উপজেলা, Bagzana Railway station",ChIJU7-ju6mX_DkRczFznmg1xiI,"62R6+4G Bagjana, Bangladesh",7MQF62R6+4G
Bagzana Hospital,25.2396486,89.0085171,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchbibi Upazila,ChIJQ4ryUnuW_DkRX5n1_gfcZG8,"62Q5+VC Bagjana, Bangladesh",7MQF62Q5+VC
Union Health And Family Welfare Care,25.2395748,89.0087903,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bagjana,ChIJV8FyhcWX_DkR1cM9OJXgSNs,"62Q5+RG Bagjana, Bangladesh",7MQF62Q5+RG
raipur cc,25.2346399,88.9918753,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchbibi Upazila,ChIJc0VODFyX_DkRiZEPraaEOcA,"6XMR+VQ Bagjana, Bangladesh",7MQC6XMR+VQ
রায়পুর কমউনিটি ক্লিনিক,25.2345622,88.9918981,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchbibi Upazila,ChIJvYSMD9WX_DkR9AGAIuquFXU,"6XMR+RQ Bagjana, Bangladesh",7MQC6XMR+RQ
ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,25.3173915,89.0348584,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","বোয়াল দাড়, Hakimpur",ChIJDRiwnni__DkRx1lXh-FDBXY,"828M+XW Baigram, Bangladesh",7MQF828M+XW
Mahanta Medicin,25.2671905,88.958225,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Gosaipur Road Laskarpur, Trimohini, Laskarpur",ChIJQS_PxvKX_DkR5Q9F8igVyro,"7X85+V7 Laskarpur, West Bengal, India",7MQC7X85+V7
raipur cc,25.2263831,88.9920445,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","পাঁচবিবি উপজেলা, Roypur Raypur cc Ratanpur",ChIJZYsBMx-X_DkRuYJH3_khB78,"6XGR+HR Bagjana, Bangladesh",7MQC6XGR+HR
Dharanji Hospital,25.227717,88.9746753,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchbibi Upazila,ChIJG8ob7XiX_DkR7dN-CcNQ344,"6XHF+3V Dharanji, Bangladesh",7MQC6XHF+3V
