District,Thana,SubOffice,Post Code,location,coordinate
Dinajpur,Bangla Hili,Bangla Hili,5270,"5270 Bangla Hili,Dinajpur","25.276128,89.01022139999999"
Dinajpur,Biral,Biral,5210,"5210 Biral,Dinajpur","25.6334796,88.5504897"
Dinajpur,Mohakhali,Birampur,5266,"5266 Birampur,Dinajpur","25.3899463,88.9916363"
Dinajpur,Birganj,Birganj,5220,"5220 Birganj,Dinajpur","25.8607706,88.65548609999999"
Dinajpur,Chirirbandar,Chirirbandar,5240,"5240 Chirirbandar,Dinajpur","25.6503373,88.7770522"
Dinajpur,Chirirbandar,Ranirbandar,5241,"5241 Ranirbandar,Dinajpur","25.7409798,88.7752781"
Dinajpur,Dinajpur Sadar,Dinajpur Rajbari,5201,"5201 Dinajpur Rajbari,Dinajpur","25.6469129,88.6556145"
Dinajpur,Dinajpur Sadar,Dinajpur Sadar,5200,"5200 Dinajpur Sadar,Dinajpur","25.6332521,88.63979839999999"
Dinajpur,Khansama,Khansama,5230,"5230 Khansama,Dinajpur","25.9250154,88.7313557"
Dinajpur,Khansama,Pakarhat,5231,"5231 Pakarhat,Dinajpur","25.8635586,88.78228089999999"
Dinajpur,Maharajganj,Maharajganj,5226,"5226 Maharajganj,Dinajpur","27.1446035,83.5621737"
Dinajpur,Nawabganj,Daudpur,5281,"5281 Daudpur,Dinajpur","25.3981387,89.11460869999999"
Dinajpur,Nawabganj,Gopalpur,5282,"5282 Gopalpur,Dinajpur","25.2859313,89.17893230000001"
Dinajpur,Nawabganj,Nawabganj,5280,"5280 Nawabganj,Dinajpur","25.420077,89.07765789999999"
Dinajpur,Ghoraghat,Ghoraghat,5291,"5291 Ghoraghat,Dinajpur","25.2446833,89.28343799999999"
Dinajpur,Ghoraghat,Osmanpur,5290,"5290 Osmanpur,Dinajpur","25.2566276,89.24077740000001"
Dinajpur,Parbatipur,Parbatipur,5250,"5250 Parbatipur,Dinajpur","25.6543901,88.9162387"
Dinajpur,Phulbari,Phulbari,5260,"5260 Phulbari,Dinajpur","25.4962932,88.9533563"
Dinajpur,Setabganj,Setabganj,5216,"5216 Setabganj,Dinajpur","25.7997217,88.46218909999999"
Gaibandha,Bonarpara,Bonarpara,5750,"5750 Bonarpara,Gaibandha","25.1614898,89.5285306"
Gaibandha,Bonarpara,saghata,5751,"5751 saghata,Gaibandha","25.1231112,89.582769"
Gaibandha,Gaibandha Sadar,Gaibandha Sadar,5700,"5700 Gaibandha Sadar,Gaibandha","25.3302439,89.5466701"
Gaibandha,Gobindaganj,Gobindhaganj,5740,"5740 Gobindhaganj,Gaibandha","25.1404178,89.436391"
Gaibandha,Gobindaganj,Mahimaganj,5741,"5741 Mahimaganj,Gaibandha","25.1093937,89.4867914"
Gaibandha,Palashbari,Palashbari,5730,"5730 Palashbari,Gaibandha","25.300973,89.42352079999999"
Gaibandha,Phulchhari,Bharatkhali,5761,"5761 Bharatkhali,Gaibandha","25.166667,89.6"
Gaibandha,Phulchhari,Phulchhari,5760,"5760 Phulchhari,Gaibandha","25.3198082,89.5958514"
Gaibandha,Saadullapur,Naldanga,5711,"5711 Naldanga,Gaibandha","25.485985,89.4698882"
Gaibandha,Saadullapur,Saadullapur,5710,"5710 Saadullapur,Gaibandha","25.3909385,89.46594619999999"
Gaibandha,Sundarganj,Bamandanga,5721,"5721 Bamandanga,Gaibandha","25.5352104,89.4422199"
Gaibandha,Sundarganj,Sundarganj,5720,"5720 Sundarganj,Gaibandha","25.5643622,89.5190902"
Kurigram,Bhurungamari,Bhurungamari,5670,"5670 Bhurungamari,Kurigram","26.1089774,89.6698658"
Kurigram,Chilmari,Chilmari,5630,"5630 Chilmari,Kurigram","25.5810414,89.66163519999999"
Kurigram,Chilmari,Jorgachh,5631,"5631 Jorgachh,Kurigram","25.810346,89.6486979"
Kurigram,Kurigram Sadar,Kurigram Sadar,5600,"5600 Kurigram Sadar,Kurigram","25.8077695,89.64023929999999"
Kurigram,Kurigram Sadar,Pandul,5601,"5601 Pandul,Kurigram","25.7228097,89.59925"
Kurigram,Kurigram Sadar,Phulbari,5680,"5680 Phulbari,Kurigram","25.9490674,89.5521217"
