Name,loc
Adabor,"23.7733,90.3548"
Uttar Khan,"23.8727,90.4479"
Kadamtali,"23.7018,90.3948"
Kalabagan,"23.7494,90.3831"
Kafrul,"23.7896,90.3913"
Kamrangirchar,"23.7182,90.3678"
Khilkhet,"23.8311,90.4243"
Khilgaon,"23.7566,90.4644"
Gendaria,"23.7025,90.4261"
Demra,"23.7209,90.4833"
Turag,"23.8759,90.3701"
Tejgaon,"23.7598,90.3913"
Dakshinkhan,"23.8519,90.4267"
Darus Salam,"23.7785,90.3531"
Dhanmondi,"23.7461,90.3742"
New Market,"23.7332,90.3838"
Paltan,"23.7362,90.4142"
Pallabi,"23.8283,90.3607"
Bangshal,"23.7181, 90.4007"
Motijheel,"23.7330, 90.4172"
Mirpur,"23.8223, 90.3654"
Mohammadpur,"23.7660, 90.3586"
Jatrabari,"23.7106, 90.4349"
Ramna,"23.7330, 90.3984"
Lalbagh,"23.7182, 90.3866"
Shahbagh,"23.7397, 90.3943"
Sher-e-Bangla Nagar,"23.7717, 90.3772"
Sabujbagh,"23.7418, 90.4573"
Sutrapur,"23.7121, 90.4196"
Hazaribagh,"23.9925, 85.3637"
