Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
আজমিরিগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,24.5516028,91.2350074,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Ajmiriganj,ChIJKXJ13hY1UTcRS1HRUkrPbyc,"H62P+J2 Ajmiriganj, Bangladesh",7MPHH62P+J2
Ajmiriganj Helth Complex,24.5514345,91.2353313,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Ajmiriganj,ChIJdzPr2xY1UTcRnQpqnC4JyX8,"H62P+H4 Ajmiriganj, Bangladesh",7MPHH62P+H4
"Upazila Health Complex, Ajmiriganj,Habigan.",24.5522597,91.2346708,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Ajmiriganj,ChIJt0cXpjI1UTcRefntCnMck-I,"H62M+WV Ajmiriganj, Bangladesh",7MPHH62M+WV
Ajmiriganj Upazila Hospital,24.5523482,91.2346725,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Ajmiriganj,ChIJqzhfGRc1UTcRiIWlgv1X7Xk,"H62M+WV Ajmiriganj, Bangladesh",7MPHH62M+WV
New Medilab Hospital,24.5548351,91.2324241,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bazar, Ajmiriganj",ChIJhZWik6I1UTcRrgdcSFkAnUA,"H63J+WX Ajmiriganj, Bangladesh",7MPHH63J+WX
ASA Ajmiriganj Health Centre,24.5590883,91.2318149,5,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Ajmiriganj,ChIJA5igmRg1UTcRPdVrd1D15Sc,"H65J+JP Ajmiriganj, Bangladesh",7MPHH65J+JP
ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র,24.5058192,91.2832223,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Baniachong - Azmiriganj Road, Shibpasha",ChIJ8c89KH1LUTcRcjlzYbJCip4,"G74M+87 Shibpasha, Bangladesh",7MPHG74M+87
রসুল পুর কমিউনিটি ক্লিনিক,24.4898803,91.2078094,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Kakailseo, Rasulpur",ChIJlQZorjK1VjcRVvwnPBrGbnI,"F6Q5+X4 Kakailcheo, Bangladesh",7MPHF6Q5+X4
মনুয়া কমিউনিটি ক্লিনিক,24.626252,91.24846,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Sullah Upazila,ChIJE2HwwvszUTcRRmOASF0UVrE,"J6GX+G9 Chhabia, Bangladesh",7MPHJ6GX+G9
কমিউনিটি ক্লিনিক,24.6262556,91.2484816,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Manua,ChIJW_Uw9pozUTcRlC2yhGwqkm4,"J6GX+G9 Chhabia, Bangladesh",7MPHJ6GX+G9
Ajmiriganj Upazila Health Complex,24.5522744,91.2346678,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Ajmiriganj,ChIJn4pwHhc1UTcRj6KVo155OU4,not found,not found
Ajmiriganj Diagnostic Centre,24.5599929,91.2344722,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","3360 Ajmiriganj - Janatagonj Bazar - Kishoreganj Road, Ajmiriganj",ChIJhS48Ayo1UTcRZYw3jhxTcX0,"H65M+XQ Ajmiriganj, Bangladesh",7MPHH65M+XQ
ইউনিয়ন স্বাস্থ ও পরিবার কল্যান কেন্দ্র,24.5848525,91.2629865,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Sulla,ChIJNTk8gOk1UTcRGJfvFhIK8Kc,"H7M7+W5 Jalsukha, Bangladesh",7MPHH7M7+W5
Bahubal Upazila Health Complex,24.3391251,91.5381503,4,9,"['hospital', 'health', 'point_of_interest', 'establishment']","Bahubal Road, Bahubal",ChIJ-WM3jxJoUTcRs_4od3u479M,"8GQQ+M7 Bahubal, Bangladesh",7MPH8GQQ+M7
Mouri Community Clinic,24.340011,91.5519661,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJc0ptxu5pUTcROxcnVW2Mu7s,"8HR2+2Q Bahubal, Bangladesh",7MPH8HR2+2Q
