Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
আজমিরিগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,24.5516028,91.2350074,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Ajmiriganj,ChIJKXJ13hY1UTcRS1HRUkrPbyc,"H62P+J2 Ajmiriganj, Bangladesh",7MPHH62P+J2
Ajmiriganj Helth Complex,24.5514345,91.2353313,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Ajmiriganj,ChIJdzPr2xY1UTcRnQpqnC4JyX8,"H62P+H4 Ajmiriganj, Bangladesh",7MPHH62P+H4
"Upazila Health Complex, Ajmiriganj,Habigan.",24.5522597,91.2346708,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Ajmiriganj,ChIJt0cXpjI1UTcRefntCnMck-I,"H62M+WV Ajmiriganj, Bangladesh",7MPHH62M+WV
Ajmiriganj Upazila Hospital,24.5523482,91.2346725,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Ajmiriganj,ChIJqzhfGRc1UTcRiIWlgv1X7Xk,"H62M+WV Ajmiriganj, Bangladesh",7MPHH62M+WV
নার্সিং কোয়ার্টার,24.5523543,91.2345212,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Ajmiriganj Upazila,ChIJK344AA01UTcRx-kRj_Jz5Ac,"H62M+WR Ajmiriganj, Bangladesh",7MPHH62M+WR
New Medilab Hospital,24.5548351,91.2324241,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bazar, Ajmiriganj",ChIJhZWik6I1UTcRrgdcSFkAnUA,"H63J+WX Ajmiriganj, Bangladesh",7MPHH63J+WX
ASA Ajmiriganj Health Centre,24.5590883,91.2318149,5,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Ajmiriganj,ChIJA5igmRg1UTcRPdVrd1D15Sc,"H65J+JP Ajmiriganj, Bangladesh",7MPHH65J+JP
R K Medical Hall,24.5599912,91.2344525,5,4,"['hospital', 'health', 'point_of_interest', 'establishment']","3360, Ajmiriganj",ChIJs1OUOhk1UTcRm6By1p4Xwxo,"H65M+XQ Ajmiriganj, Bangladesh",7MPHH65M+XQ
Family Welfare Centre.,24.5058885,91.2830685,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Baniachong - Azmiriganj Road, Shibpasha",ChIJnbeoOBtKUTcRybKV1mdPSN4,"G74M+96 Shibpasha, Bangladesh",7MPHG74M+96
ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র,24.5058192,91.2832223,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Baniachong - Azmiriganj Road, Shibpasha",ChIJ8c89KH1LUTcRcjlzYbJCip4,"G74M+87 Shibpasha, Bangladesh",7MPHG74M+87
রসুল পুর কমিউনিটি ক্লিনিক,24.4898803,91.2078094,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Kakailseo, Rasulpur",ChIJlQZorjK1VjcRVvwnPBrGbnI,"F6Q5+X4 Kakailcheo, Bangladesh",7MPHF6Q5+X4
মনুয়া কমিউনিটি ক্লিনিক,24.626252,91.24846,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Sullah Upazila,ChIJE2HwwvszUTcRRmOASF0UVrE,"J6GX+G9 Chhabia, Bangladesh",7MPHJ6GX+G9
কমিউনিটি ক্লিনিক,24.6262556,91.2484816,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Manua,ChIJW_Uw9pozUTcRlC2yhGwqkm4,"J6GX+G9 Chhabia, Bangladesh",7MPHJ6GX+G9
বৈরাটী,24.4672071,91.2161102,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Mithamain Upazila,ChIJZbdt-KRLUTcRg8jfmwIVUeU,"F688+VC Dhillir Akhra, Bangladesh",7MPHF688+VC
Ibo,24.462185,91.182164,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Haji Dengo Bepary Road,ChIJZSmpkOG1VjcRHECdB7K_iFw,"F56J+VV Joysiddhi, Bangladesh",7MPHF56J+VV
Ajmiriganj Upazila Health Complex,24.5522744,91.2346678,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Ajmiriganj,ChIJn4pwHhc1UTcRj6KVo155OU4,not found,not found
