District,Thana,SubOffice,Post Code,location,coordinate
Habiganj,Azmireeganj,Azmireeganj,3360,"3360 Azmireeganj,Habiganj","24.5489217,91.2361706"
Habiganj,Bahubal,Bahubal,3310,"3310 Bahubal,Habiganj","24.3412478,91.5378109"
Habiganj,Baniachang,Baniachang,3350,"3350 Baniachang,Habiganj","24.5063217,91.3565692"
Habiganj,Baniachang,Jatrapasha,3351,"3351 Jatrapasha,Habiganj","24.4840392,91.3577749"
Habiganj,Baniachang,Kadirganj,3352,"3352 Kadirganj,Habiganj","24.6914968,91.3812344"
Habiganj,Chunarughat,Chandpurbagan,3321,"3321 Chandpurbagan,Habiganj","24.3840055,91.4168974"
Habiganj,Chunarughat,Chunarughat,3320,"3320 Chunarughat,Habiganj","24.1973581,91.51723150000001"
Habiganj,Chunarughat,Narapati,3322,"3322 Narapati,Habiganj","24.2330631,91.5123907"
Habiganj,Habiganj Sadar,Gopaya,3302,"3302 Gopaya,Habiganj","24.3452768,91.42897339999999"
Habiganj,Habiganj Sadar,Habiganj Sadar,3300,"3300 Habiganj Sadar,Habiganj","24.3737753,91.41617989999999"
Habiganj,Habiganj Sadar,Shaestaganj,3301,"3301 Shaestaganj,Habiganj","24.2766967,91.4555525"
Habiganj,Kalauk,Kalauk,3340,"3340 Kalauk,Habiganj","24.3712936,91.41276479999999"
Habiganj,Kalauk,Lakhai,3341,"3341 Lakhai,Habiganj","24.3106095,91.30236769999999"
Habiganj,Madhabpur,Itakhola,3331,"3331 Itakhola,Habiganj","24.1706543,91.3541579"
Habiganj,Madhabpur,Madhabpur,3330,"3330 Madhabpur,Habiganj","24.0998223,91.2963269"
Habiganj,Madhabpur,Saihamnagar,3333,"3333 Saihamnagar,Habiganj","24.248881,91.38295289999999"
Habiganj,Madhabpur,Shahajibazar,3332,"3332 Shahajibazar,Habiganj","24.2503456,91.3813909"
Habiganj,Nabiganj,Digalbak,3373,"3373 Digalbak,Habiganj","24.3840055,91.4168974"
Habiganj,Nabiganj,Golduba,3372,"3372 Golduba,Habiganj","24.3840055,91.4168974"
Habiganj,Nabiganj,Goplarbazar,3371,"3371 Goplarbazar,Habiganj","24.5700344,91.5977896"
Habiganj,Nabiganj,Inathganj,3374,"3374 Inathganj,Habiganj","24.6557002,91.5668811"
Habiganj,Nabiganj,Nabiganj,3370,"3370 Nabiganj,Habiganj","24.567188,91.5136009"
Moulvibazar,Baralekha,Baralekha,3250,"3250 Baralekha,Moulvibazar","24.707272,92.19170179999999"
Moulvibazar,Baralekha,Dhakkhinbag,3252,"3252 Dhakkhinbag,Moulvibazar","24.4842661,91.76848700000001"
Moulvibazar,Baralekha,Juri,3251,"3251 Juri,Moulvibazar","24.5970956,92.1143422"
Moulvibazar,Baralekha,Purbashahabajpur,3253,"3253 Purbashahabajpur,Moulvibazar","24.4842661,91.76848700000001"
Moulvibazar,Kamalganj,Kamalganj,3220,"3220 Kamalganj,Moulvibazar","24.3584367,91.8611011"
Moulvibazar,Kamalganj,Keramatnaga,3221,"3221 Keramatnaga,Moulvibazar","24.4842661,91.76848700000001"
Moulvibazar,Kamalganj,Munshibazar,3224,"3224 Munshibazar,Moulvibazar","24.4147073,91.8454369"
Moulvibazar,Kamalganj,Patrakhola,3222,"3222 Patrakhola,Moulvibazar","24.3095344,91.73149029999999"
Moulvibazar,Kamalganj,Shamsher Nagar,3223,"3223 Shamsher Nagar,Moulvibazar","24.3847144,91.89771309999999"
Moulvibazar,Kulaura,Baramchal,3237,"3237 Baramchal,Moulvibazar","24.5884819,91.9832594"
Moulvibazar,Kulaura,Kajaldhara,3234,"3234 Kajaldhara,Moulvibazar","24.4842661,91.76848700000001"
Moulvibazar,Kulaura,Karimpur,3235,"3235 Karimpur,Moulvibazar","23.9742977,88.62654750000002"
Moulvibazar,Kulaura,Kulaura,3230,"3230 Kulaura,Moulvibazar","24.5254644,92.0346665"
Moulvibazar,Kulaura,Langla,3232,"3232 Langla,Moulvibazar","24.4763582,91.9530679"
